G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3665681	0.0673097	0.4133219	0.5727690	0.3678860	0.3618067	0.4995880	0.6221763	0.7200153	0.6932700
0.9551361	0.0466448	0.3401530	0.6827477	0.1047072	0.2842266	0.3919185	0.7249476	0.7350640	0.6206043
0.8019662	0.1646249	0.2744972	0.6750738	0.1462201	0.2776226	0.7868364	0.7026170	0.7480265	0.6701995
0.7264375	0.0898514	0.3786781	0.3500621	0.1067524	0.3181317	0.4083771	0.6447191	0.6718962	0.6398756
0.8670172	0.0962660	0.3242335	0.6506617	0.0767841	0.3097915	0.5840402	0.6578375	0.7649400	0.6185113
0.7266107	0.1324909	0.3643995	0.5755374	0.0799214	0.1224425	0.5014946	0.6772708	0.7084388	0.6295181
0.7382114	0.0806472	0.2245242	0.6823855	0.0929387	0.2750500	0.2815011	0.6837922	0.8683105	0.7989828
0.5549747	0.1717716	0.4274931	0.5656706	0.1105311	0.5267562	0.4425661	0.2809413	0.6655589	0.6065032
0.6929286	0.0595142	0.3965683	0.6674472	0.1806863	0.3605137	0.5175641	0.8695253	0.3060839	0.6162606
0.6291036	0.1275927	0.3313450	0.7662310	0.1197478	0.3221543	0.6692794	0.6701839	0.7755987	0.3637971
