G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.3954910	0.3695481	0.3701573	0.5975735	0.2569188	0.6169447	0.6643729	0.7209980	0.6664309
0.6678041	0.0000000	0.3217590	0.5462076	0.1311401	0.3953144	0.4571145	0.7129305	0.7303732	0.7575113
0.6741814	0.0944528	0.0000000	0.2957857	0.1793522	0.3783395	0.6769699	0.7865553	0.8015296	0.6717568
0.7888220	0.0904776	0.6903473	0.0000000	0.1093756	0.4562463	0.2102532	0.7308315	0.7631637	0.6434891
0.6605913	0.0878032	0.4871009	0.6229354	0.0011013	0.3033228	0.4257160	0.6738765	0.6660465	0.8044865
0.6776286	0.3929046	0.3945484	0.6509959	0.1452916	0.0000000	0.5090038	0.7456935	0.6515256	0.6814700
0.6342131	0.1171170	0.2646657	0.3744193	0.1245746	0.4213639	0.0000000	0.6761088	0.6907691	0.6703686
0.7582992	0.2708790	0.4503629	0.7229007	0.1107459	0.6104674	0.4838868	0.0000000	0.6468370	0.7015850
0.6987918	0.1149840	0.2774532	0.3402392	0.0698960	0.2747157	0.5487865	0.5616797	0.0000000	0.0334613
0.6833437	0.0855654	0.3851281	0.4254224	0.1345485	0.3158290	0.7218641	0.7170515	0.6625225	0.0000000
