"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9789257	0.1360855	0.4957748	0.9492117	0.1677658	0.4697274	0.7864540	1.0098057	1.0642221	0.9772714
2	0.9919239	0.1705824	0.5258149	1.0352662	0.1884404	0.4595260	0.6532137	0.9401317	0.9949609	0.9318099
4	0.9983981	0.1587898	0.5214548	1.0530574	0.1869398	0.4644486	0.6355353	0.9633627	1.0083466	0.9287161
6	0.9855449	0.1554539	0.5021835	1.0611967	0.1882715	0.4624628	0.6374622	0.9842230	1.0156782	0.9281450
8	0.9820327	0.1481947	0.5125223	1.0725620	0.1889151	0.4775395	0.6509089	0.9785526	1.0076100	0.9173379
10	0.9892151	0.1430479	0.5141039	1.0669085	0.1858600	0.4701494	0.6401256	1.0025875	1.0087501	0.9365770
12	0.9832779	0.1338295	0.5163547	1.0901534	0.1858957	0.4714765	0.6492969	0.9824422	1.0211334	0.9548669
14	0.9853734	0.1141034	0.5180345	1.0769542	0.1809701	0.4713869	0.6609433	1.0014294	1.0113355	0.9480554
16	0.9793128	0.1082669	0.4994865	1.0652617	0.1861704	0.4731043	0.6683971	1.0089074	1.0272196	0.9700279
18	0.9696634	0.1087267	0.4899914	1.0808285	0.1755917	0.4755075	0.6725847	1.0005716	1.0256951	0.9389836
20	0.9812435	0.0991568	0.4939249	1.0490910	0.1760455	0.4742390	0.6534166	0.9897687	1.0263536	0.9419680
22	0.9805555	0.1015680	0.5201260	1.0607449	0.1780727	0.4666139	0.6442903	0.9724764	1.0013244	0.9058252
24	0.9902579	0.0992948	0.5210308	1.0680381	0.1890397	0.4531682	0.6415179	0.9858480	1.0302082	0.9124125
26	1.0033504	0.0931743	0.5128937	1.0615178	0.1941772	0.4702804	0.6191098	0.9868141	1.0111543	0.9497071
28	1.0189111	0.0891328	0.5049887	1.0502176	0.1923364	0.4860744	0.6135908	0.9797255	1.0439754	0.9503504
30	1.0099963	0.0942407	0.5223796	1.0597891	0.1984785	0.4841668	0.6465404	0.9726411	1.0543523	0.9500773
32	1.0121805	0.0946780	0.5122157	1.0607303	0.1821068	0.4792645	0.6548369	0.9846416	1.0440653	0.9757562
34	1.0027677	0.0996251	0.5097563	1.0239608	0.1868405	0.4790685	0.6449336	0.9969771	1.0560351	0.9754394
36	1.0076529	0.0946545	0.5163754	1.0278699	0.1867112	0.4814252	0.6521414	0.9883119	1.0640117	0.9771819
38	1.0043999	0.0960029	0.5120667	1.0039585	0.1931071	0.4712221	0.6379440	0.9846885	1.0534414	0.9854523
40	1.0325117	0.0973412	0.4892213	1.0221561	0.1946530	0.4680634	0.6413722	0.9598520	1.0500183	0.9853579
42	1.0371324	0.0981115	0.4854140	1.0170533	0.2029143	0.4787865	0.6087335	0.9793363	1.0471488	1.0000820
44	1.0313176	0.0975953	0.4909258	0.9904703	0.2033898	0.4724172	0.6182794	0.9976414	1.0371197	1.0105122
46	1.0411747	0.1075157	0.4805030	0.9914396	0.1961515	0.4793285	0.6149488	0.9930898	1.0474414	0.9976970
48	1.0524434	0.1160761	0.4979351	0.9493022	0.2011847	0.4733679	0.6080084	0.9894580	1.0562820	1.0087839
50	1.0490099	0.1246474	0.4936794	0.9554639	0.2055175	0.4738098	0.5921291	0.9770197	1.0592834	1.0095530
52	1.0795794	0.1303123	0.4961238	0.9376033	0.2134750	0.4851605	0.5814594	0.9616673	1.0407149	1.0147373
54	1.0719839	0.1205239	0.4756777	0.9504358	0.2139221	0.4941356	0.6031018	0.9654864	1.0506378	0.9939915
56	1.0822458	0.1186891	0.4839930	0.9290363	0.1949758	0.4834484	0.6000469	0.9758795	1.0287120	0.9975909
