G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.5033494	0.1273312	0.5835154	0.8609883	0.5543885	0.4563636	0.6884161	0.9689238	1.1001613	0.9867145
1.0649219	0.1019194	0.5745433	0.9686490	0.1665908	0.4970813	0.6145250	0.9628630	1.0373666	0.9105535
1.0472161	0.1656878	0.3391654	0.9475042	0.2066201	0.4891589	0.8888459	1.0297790	1.0571216	0.9772030
0.9447198	0.1266293	0.5926336	0.5013480	0.1800022	0.4840842	0.6819737	0.9652921	1.0252306	0.9095425
1.0378242	0.1556776	0.4787965	0.9991086	0.1177940	0.4271593	0.7330501	1.0420308	1.0197991	0.9290991
0.9831564	0.1845986	0.5495190	1.0068278	0.1497026	0.2406371	0.7593033	1.0127675	1.0158013	0.9025500
1.0607392	0.1113469	0.3526612	1.0077564	0.1609643	0.3908512	0.4840168	0.9089602	1.0997378	1.0272175
0.9850719	0.3102878	0.5701962	0.9582769	0.1963773	0.7052074	0.6828807	0.4835609	0.9589033	0.9449314
0.9878116	0.1136238	0.5541134	0.9524634	0.1891893	0.4543502	0.8143143	1.1451459	0.5265750	0.8896321
1.0300244	0.1673524	0.4616650	0.8513236	0.1691270	0.4912208	0.9228231	0.9445013	1.0284036	0.5063899
