G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000076	0.6060015	0.3628690	0.5443667	0.9999954	0.4685919	0.9466648	1.0000000	1.0000000	0.9976493
1.0000000	0.0000002	0.5275161	0.9496483	0.1737380	0.4685921	0.7324856	1.0000000	1.0000000	0.9976493
1.0000000	0.1393422	0.0000026	0.5533820	0.1737380	0.4685922	0.9999283	1.0000000	1.0000000	0.9976493
1.0000000	0.1393422	0.7931537	0.0000001	0.1737380	0.4685919	0.2615552	1.0000000	1.0000000	0.9976493
1.0000000	0.1393422	0.5261953	0.9495219	0.0000213	0.4685924	0.7323458	1.0000000	1.0000000	0.9976493
1.0000000	0.6060125	0.5269788	0.9497816	0.1737380	0.0000446	0.7298104	1.0000000	1.0000000	0.9976493
1.0000000	0.1393422	0.3584403	0.5532141	0.1737380	0.4685919	0.0000068	1.0000000	1.0000000	0.9976493
1.0000000	0.3642783	0.5283498	0.9498818	0.1737380	0.9969947	0.7303752	0.0000700	1.0000000	0.9976493
1.0000000	0.1393422	0.4436641	0.5603971	0.1737380	0.4685919	0.8700121	1.0000000	0.0000461	0.0717762
1.0000000	0.1393422	0.4393900	0.5532104	0.1737380	0.4685919	0.8668272	1.0000000	1.0000000	0.0000165
