G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
1.0101519	0.2329857	0.9428933	0.9846345	0.1122615	0.8900761	0.1091922	1.0465935	1.0597813	0.6603198
0.9928624	0.6020494	1.0262246	0.9245408	0.4408601	0.7419368	0.3769357	0.6469234	0.5098692	1.0018623
1.0585836	0.9040553	0.9202657	0.6623106	0.6595784	0.7725410	0.6455073	0.3360726	0.9439096	1.0864182
0.9584419	0.1528783	0.9755134	0.9802874	0.2329625	0.8204562	0.1619949	1.0054319	0.6618238	1.0123680
0.9770803	0.3313400	0.5559628	0.9521079	0.0030556	0.5935700	0.4055367	0.9743456	1.0107803	0.9285111
1.0045655	0.2163546	0.8522770	1.0710826	0.0489742	1.0462441	0.1585920	0.6338006	0.9529094	0.9429817
0.9254777	0.7480802	1.1663774	1.0208712	0.4448798	0.6340250	0.3674267	0.5506161	0.7567681	0.9941392
1.0437932	0.1694533	0.9636052	1.0257511	0.1033291	0.7208628	0.2568778	0.7313518	0.9316398	1.0247936
0.9521243	0.5375815	0.9783684	0.7916253	0.3053765	0.5207962	0.4454902	0.7411319	0.9807521	1.0332341
1.0248257	0.0513566	0.9958625	1.1200282	0.2425337	0.8782441	0.0846594	0.8573067	0.9794599	0.5598443
