G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000757	0.0032448	0.9833853	0.9999996	0.5921327	0.9989574	0.0132155	0.9999929	1.0000000	1.0000000
1.0000000	0.0002488	0.9833853	0.9999997	0.5921274	0.9987641	0.0131357	0.9999914	1.0000000	1.0000000
1.0000000	0.0112935	0.0001444	0.9982148	0.0547174	0.9986375	0.0138845	0.9999838	1.0000000	1.0000000
1.0000000	0.6689004	0.6798217	0.0000046	0.4273075	0.6196721	0.4631550	0.5692452	1.0000000	1.0000000
1.0000000	0.0031756	0.5791561	0.9999991	0.0000011	0.9988454	0.0132551	0.9999916	1.0000000	1.0000000
1.0000000	0.1438370	0.9833852	0.9999633	0.1630715	0.0000000	0.0125258	0.9843907	1.0000000	1.0000000
1.0000000	0.1438370	0.9833852	0.9999633	0.1630715	1.0000000	0.0000000	0.9843907	1.0000000	1.0000000
1.0000000	0.1438370	0.9833852	0.9999633	0.1630715	0.9748050	0.0914259	0.0000000	1.0000000	1.0000000
1.0000000	0.6777036	0.9833853	0.9998367	0.4401114	0.6517826	0.4537658	0.5819094	0.0000048	1.0000000
1.0000000	0.1283543	0.6796897	0.9999244	0.1522626	0.9835189	0.0749993	0.9896819	1.0000000	0.0000000
