Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6471825	0.3108208	0.9040124	0.2686359	1.0000000	0.9998206	0.4803951	1.0000000	0.9495556	1.0000000
2	0.6474174	0.3102444	0.9046389	0.2684674	1.0000000	0.9998274	0.4803565	0.9993025	0.9497982	0.9992479
4	0.6476454	0.3091677	0.9047471	0.2683028	1.0000000	0.9998339	0.4803189	0.9972935	0.9501818	0.9971417
6	0.6478666	0.3076369	0.9043907	0.2681421	1.0000000	0.9998401	0.4802814	0.9940913	0.9506868	0.9938869
8	0.6480813	0.3056953	0.9036204	0.2679854	1.0000000	0.9998461	0.4802426	0.9898064	0.9512954	0.9896657
10	0.6482896	0.3033829	0.9024840	0.2678326	1.0000000	0.9998518	0.4802006	0.9845415	0.9519917	0.9846389
12	0.6484916	0.3007368	0.9010262	0.2676840	1.0000000	0.9998573	0.4801534	0.9783921	0.9527615	0.9789485
14	0.6486877	0.2977916	0.8992884	0.2675396	1.0000000	0.9998626	0.4800986	0.9714471	0.9535919	0.9727193
16	0.6488780	0.2945793	0.8973092	0.2673996	1.0000000	0.9998677	0.4800335	0.9637890	0.9544715	0.9660612
18	0.6490628	0.2911294	0.8951241	0.2672641	1.0000000	0.9998726	0.4799554	0.9554946	0.9553901	0.9590704
20	0.6492423	0.2874696	0.8927654	0.2671333	1.0000000	0.9998773	0.4798615	0.9466349	0.9563384	0.9518309
22	0.6494169	0.2836252	0.8902628	0.2670073	1.0000000	0.9998818	0.4797487	0.9372760	0.9573083	0.9444161
24	0.6495868	0.2796197	0.8876430	0.2668862	1.0000000	0.9998861	0.4796142	0.9274789	0.9582927	0.9368895
26	0.6497524	0.2754748	0.8849299	0.2667702	1.0000000	0.9998902	0.4794547	0.9173002	0.9592852	0.9293064
28	0.6499142	0.2712106	0.8821450	0.2666594	1.0000000	0.9998941	0.4792672	0.9067924	0.9602800	0.9217140
30	0.6500725	0.2668456	0.8793073	0.2665539	1.0000000	0.9998979	0.4790486	0.8960038	0.9612723	0.9141532
32	0.6502280	0.2623967	0.8764334	0.2664539	1.0000000	0.9999015	0.4787957	0.8849790	0.9622577	0.9066585
34	0.6503810	0.2578798	0.8735379	0.2663594	1.0000000	0.9999050	0.4785057	0.8737594	0.9632323	0.8992594
36	0.6505323	0.2533091	0.8706333	0.2662706	1.0000000	0.9999083	0.4781753	0.8623827	0.9641929	0.8919804
38	0.6506824	0.2486980	0.8677302	0.2661874	1.0000000	0.9999115	0.4778016	0.8508841	0.9651366	0.8848419
40	0.6508321	0.2440586	0.8648377	0.2661099	1.0000000	0.9999145	0.4773816	0.8392956	0.9660610	0.8778609
42	0.6509821	0.2394019	0.8619632	0.2660382	1.0000000	0.9999174	0.4769126	0.8276466	0.9669639	0.8710507
44	0.6511331	0.2347382	0.8591129	0.2659722	1.0000000	0.9999201	0.4763916	0.8159642	0.9678437	0.8644222
46	0.6512862	0.2300767	0.8562914	0.2659121	1.0000000	0.9999228	0.4758159	0.8042731	0.9686989	0.8579836
48	0.6514421	0.2254259	0.8535025	0.2658577	1.0000000	0.9999253	0.4751830	0.7925958	0.9695284	0.8517409
50	0.6516018	0.2207934	0.8507488	0.2658092	1.0000000	0.9999276	0.4744902	0.7809528	0.9703311	0.8456984
52	0.6517663	0.2161862	0.8480320	0.2657663	1.0000000	0.9999299	0.4737352	0.7693630	0.9711064	0.8398585
54	0.6519367	0.2116106	0.8453530	0.2657292	1.0000000	0.9999320	0.4729155	0.7578431	0.9718538	0.8342224
56	0.6521141	0.2070722	0.8427120	0.2656978	1.0000000	0.9999340	0.4720289	0.7464087	0.9725728	0.8287901
58	0.6522995	0.2025762	0.8401085	0.2656720	1.0000000	0.9999359	0.4710735	0.7350734	0.9732635	0.8235603
60	0.6524943	0.1981272	0.8375414	0.2656517	1.0000000	0.9999377	0.4700471	0.7238499	0.9739255	0.8185310
62	0.6526995	0.1937292	0.8350094	0.2656369	1.0000000	0.9999393	0.4689479	0.7127491	0.9745592	0.8136996
64	0.6529166	0.1893858	0.8325102	0.2656275	1.0000000	0.9999409	0.4677743	0.7017811	0.9751646	0.8090625
66	0.6531467	0.1851002	0.8300417	0.2656234	1.0000000	0.9999423	0.4665247	0.6909547	0.9757420	0.8046158
