G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.6317399	0.2365405	0.3287337	0.7673251	0.6633331	0.3368847	0.6568863	0.3638576	0.6404177
0.4688062	0.0002007	0.8920576	0.1925733	0.6996031	0.6905367	0.3297143	0.6867711	0.6564345	0.6176941
0.4706917	0.2401936	0.0000000	0.7769157	0.7955864	0.8296367	0.3861457	0.5992935	0.5998144	0.6493851
0.1071095	0.5971603	0.2654959	0.0000000	0.6865023	0.6569282	0.3419705	0.6466461	0.4845141	0.6720422
0.6142373	0.1470818	0.7746968	0.2074552	0.0011403	0.7455749	0.3385903	0.6294178	0.7439178	0.7441185
0.2333280	0.2661730	0.7099535	0.1759928	0.7724445	0.0000000	0.5637208	0.5642831	0.6392354	0.6471452
0.5323661	0.1734403	0.4797160	0.2102544	0.7053370	0.6070340	0.0000000	0.7670206	0.6344481	0.5769748
0.5930998	0.2366013	0.3079093	0.2491792	0.5951936	0.0721227	0.3204829	0.0000000	0.6581107	0.6281627
0.4327377	0.2293735	0.5564296	0.2227069	0.7642118	0.6061172	0.3911857	0.7089046	0.0000604	0.7122330
0.3899958	0.1266789	0.6094526	0.1715914	0.6732250	0.6191668	0.2887135	0.7652329	0.1854352	0.0000000
