YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.3777694	0.2100499	0.5072399	0.3845126	0.4465355	1.0059650	0.9434643	0.5020095	0.9857163	1.0022633
0.6924378	0.1405699	0.3441029	0.5122260	0.5113569	0.9896936	0.9639019	0.5607673	1.0346985	0.9554067
0.7447812	0.1627696	0.2491918	0.3833347	0.4436539	1.0004095	1.0587338	0.5306461	1.0336847	1.0738273
0.7183807	0.2759635	0.7693545	0.3055121	0.4483140	0.9916727	1.0638666	0.5392311	0.9441301	0.9442929
0.7436352	0.2860247	0.5129546	0.3847573	0.2917425	1.0027519	0.9471004	0.5789787	0.9700064	1.0467622
0.7560033	0.2102912	0.2551364	0.6063728	0.7124071	0.5212245	1.0252943	0.5155055	1.0172541	1.0608312
0.8336287	0.4212550	0.4469219	0.5344849	0.4585462	0.9679162	0.5454437	0.5251650	0.9476590	1.0383366
0.9059215	0.2747587	0.5105674	0.5551219	0.5057219	1.0308187	1.0078724	0.2613170	1.0455771	0.9668113
0.6203547	0.2163178	0.5217715	0.4789537	0.4960249	1.0016374	0.9910990	0.8024095	0.5238064	0.9913498
0.8046324	0.2342979	0.4476491	0.5166242	0.5031524	1.0829741	1.0666096	0.5504897	1.1104326	0.5552206
