YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.9428690	0.1532766	0.6363731	0.3353500	0.2209342	0.7812479	1.0000000	0.5060620	1.0000000	0.8933403
0.6341284	0.1564047	0.2185250	0.6753199	0.4783824	1.0000000	0.7445738	0.6217812	0.6153406	0.6398153
0.3160379	0.2608710	0.5256531	0.4516406	0.4783824	1.0000000	0.6870827	0.3326706	1.0000000	1.0000000
0.6358104	0.1017886	0.3332670	0.5697485	0.3386438	1.0000000	1.0000000	0.2586251	0.9188670	1.0000000
0.6558279	0.0240662	0.3551004	0.5266101	0.7332569	0.5231567	1.0000000	0.6376126	0.6770769	0.7345158
0.5206718	0.4958609	0.5095220	0.4416686	0.4783824	1.0000000	0.7796944	0.3177810	0.9594013	1.0000000
0.8996313	0.2287582	0.1928307	0.7071533	0.4125152	0.8836323	0.9058186	0.5153364	0.9803046	1.0000000
0.5258538	0.1157684	0.5169863	0.2877758	0.3196292	0.9195487	0.8464897	0.3387824	0.9875046	0.7633529
0.3988076	0.5504217	0.5966669	0.4149483	0.2876698	0.8193179	1.0000000	0.5060620	1.0000000	1.0000000
0.6843824	0.1698986	0.4222807	0.5100458	0.3689402	1.0000000	0.9164970	0.5060620	1.0000000	1.0000000
