YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.1444953	0.1993524	0.0820033	0.3125956	0.9678309	0.0681319	0.0663294	0.6287796	0.9602319	0.8960434
0.3477681	0.2088788	0.1688047	0.5274219	1.0301768	0.1124914	0.0480830	0.6297228	1.0827830	0.7740363
0.3730318	0.1338502	0.0768348	0.5301314	0.9037164	0.0471129	0.0433731	0.6261504	0.9868987	0.9756093
0.1825967	0.0695608	0.0447749	0.2144138	0.8856038	0.0503153	0.0517918	0.5986888	0.9705736	0.9473538
0.8426068	0.9307840	0.5421732	0.9141563	0.4115620	0.3125606	0.0581531	0.5782308	0.9946763	0.2172525
0.4647227	0.4970216	0.2462447	0.4929910	1.0863753	0.0405688	0.0611803	0.6089474	1.0470194	0.6153727
0.4810786	0.4269200	0.1823621	0.4348433	0.9644451	0.0605971	0.0230121	0.6797933	1.0964113	0.7894044
0.3066789	0.2159372	0.1231706	0.4381841	1.0553014	0.0751223	0.0775549	0.2797618	1.0787884	1.0230916
0.4238743	0.4645520	0.1666220	0.4420051	0.9580140	0.1064537	0.0978167	0.4147845	0.5720788	0.9511628
0.3734010	0.2483301	0.1059344	0.5176806	0.9247725	0.0908254	0.0409119	0.5627545	1.0171601	0.5144947
