"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.2397849	0.2689251	0.0989835	0.3182522	0.7781015	0.0845316	0.0468676	0.4241354	0.5755396	0.8530337
50	0.3403964	0.2903573	0.1751900	0.4067348	0.7948377	0.0413597	0.0119270	0.6094884	0.7555199	0.5011350
100	0.3907684	0.3855197	0.4320280	0.3127556	0.9119696	0.0446030	0.0442668	0.6273637	0.9284590	0.3010389
150	0.3280734	0.4602391	0.4093925	0.2653007	0.7698010	0.1169485	0.0705963	0.7255037	0.8278543	0.1733484
200	0.2619024	0.6000728	0.5041084	0.3273619	0.8819677	0.1405964	0.0300384	0.6565138	0.6230706	0.0954622
250	0.4097133	0.7078165	0.5121635	0.2978314	0.6760347	0.1948786	0.0331320	0.5888167	0.7732473	0.0232460
300	0.2408299	0.7900540	0.5561388	0.3837260	0.6313774	0.2282155	0.0434147	0.6960592	0.7284224	0.0280923
350	0.3678843	0.7230947	0.6279090	0.3946475	0.8268020	0.2718335	0.0381205	0.6469579	0.9244485	0.0082367
400	0.4066251	0.7740393	0.4872839	0.3577856	0.5913663	0.2717975	0.0267058	0.7552784	0.6889882	0.0112900
450	0.4281008	0.6579976	0.5535957	0.4933171	0.7067175	0.3540568	0.0131018	0.6946773	0.9379044	0.0094711
500	0.3911293	0.5855968	0.4172084	0.3570229	0.7559488	0.2737332	0.0207852	0.5787526	0.7138766	0.0059021
550	0.3397516	0.6431046	0.4109985	0.4888163	0.7041599	0.2254813	0.0421136	0.5551285	0.8882996	0.0392282
600	0.3053346	0.6698461	0.3126188	0.5043027	0.6663741	0.2098644	0.0245672	0.5267308	0.7148987	0.0972677
650	0.4166649	0.6145915	0.1812050	0.4197279	0.5446928	0.1392871	0.0243844	0.4973035	0.6661531	0.1688062
700	0.4767644	0.7763141	0.2937160	0.3976804	0.7163233	0.1335149	0.0229818	0.5176844	0.6964942	0.2048119
750	0.4826794	0.5368553	0.2817410	0.4025296	0.6255673	0.1207069	0.0264683	0.4616703	0.7031701	0.2564335
800	0.3911473	0.5400275	0.2396287	0.4198118	0.6410891	0.1285138	0.0939797	0.4141248	0.7446230	0.1913687
850	0.3552815	0.4886936	0.2282284	0.3354497	0.8611106	0.1074386	0.0257825	0.4248309	0.7711026	0.3054505
900	0.4359009	0.4733485	0.2416014	0.3309901	0.6607496	0.0648617	0.0149727	0.5039327	0.8018145	0.1952578
950	0.3691885	0.4303614	0.2260372	0.3444763	0.7681804	0.0628286	0.0611573	0.5160763	0.8019257	0.2562558
1000	0.3538030	0.5637107	0.2269074	0.4696908	0.8091452	0.0458618	0.0323087	0.4312393	0.8069129	0.2558727

0	0.3002427	0.2729244	0.1064657	0.4228283	0.8168645	0.0683762	0.0499851	0.3684700	0.6988136	0.7879043
50	0.2843612	0.3126961	0.1068206	0.2012570	0.6456879	0.0367465	0.0135232	0.4241846	0.6912613	0.6399415
100	0.1666453	0.4330279	0.0942570	0.0833766	0.7712928	0.0374911	0.0268370	0.3508140	0.7765460	0.6665508
150	0.1633804	0.4186766	0.0665270	0.0546506	0.7205196	0.0400365	0.0389795	0.4287136	0.7590414	0.5937148
200	0.1301038	0.4549196	0.0704134	0.0316613	0.7417435	0.0282807	0.0329948	0.5199238	0.5803153	0.8780072
250	0.0549542	0.4186773	0.0394235	0.0266914	0.7366005	0.0380576	0.0288783	0.3997353	0.7618828	0.6727473
300	0.0180025	0.4548765	0.0558181	0.0082885	0.7615992	0.0284488	0.0589474	0.3053161	0.7190192	0.7880565
350	0.0145508	0.3968974	0.0213140	0.0300888	0.7559134	0.0302509	0.0382226	0.4674343	0.7298800	0.8238258
400	0.0246830	0.5355026	0.0283998	0.0172448	0.8735716	0.0187075	0.0596828	0.4344585	0.6630519	0.7467166
