"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.7453409	0.4991211	0.6258042	0.4816780	0.3023018	0.1413435	0.1772434	0.7315412	0.6535918	0.9115816
50	0.7934416	0.3961877	0.6118343	0.4033254	0.3564705	0.3146733	0.3107727	0.4139317	0.6966864	0.6417633
100	0.8183740	0.5004486	0.3893440	0.3946458	0.5461776	0.5449233	0.5176710	0.2991306	0.6367176	0.6370240
150	0.7070983	0.4459803	0.4027914	0.5529852	0.5260579	0.4705403	0.5596650	0.2671905	0.5806523	0.5540223
200	0.7250527	0.4008623	0.4452120	0.5703245	0.5793312	0.6321024	0.5477095	0.3062812	0.6189473	0.5258595
250	0.8087205	0.5047943	0.5102772	0.5160210	0.6479345	0.6077458	0.6704310	0.3091296	0.6337173	0.6244968
300	0.6785959	0.4666007	0.4066925	0.4605574	0.7611306	0.5864792	0.7184105	0.3683835	0.7211269	0.6786399
350	0.9123215	0.5013000	0.5010412	0.4679175	0.7966659	0.6808500	0.5844864	0.3380846	0.6381291	0.6026742
400	0.8796316	0.4482421	0.4463229	0.3257741	0.6473196	0.6497430	0.6402447	0.2809362	0.6520413	0.5222768
450	0.6711390	0.5515405	0.4297336	0.3479511	0.6637172	0.6553805	0.7221170	0.3153781	0.6908623	0.5614424
500	0.6530720	0.4234961	0.4440530	0.3396330	0.6580609	0.4907654	0.6684795	0.2806321	0.7313900	0.5913158
550	0.7003730	0.3253782	0.3535825	0.3051511	0.6876695	0.3626424	0.4377120	0.4979125	0.5609827	0.7040656
600	0.8934768	0.2119819	0.4860652	0.2784608	0.5669928	0.2281651	0.3728469	0.5103579	0.7615730	0.6755763
650	0.6878530	0.2737629	0.4987531	0.3229141	0.5589360	0.3115777	0.2798557	0.4988766	0.5901525	0.7894983
700	0.7023535	0.3053829	0.5530660	0.3707205	0.5770339	0.3447146	0.2293883	0.6066997	0.5954261	0.8138179
750	0.7362331	0.4399658	0.3982325	0.3209387	0.8139493	0.2594778	0.3736860	0.5410384	0.7479833	0.6271450
800	0.7599328	0.2746146	0.5171280	0.3038528	0.5418242	0.2097928	0.2597173	0.6175076	0.7768348	0.7379153
850	0.6840450	0.4325491	0.5942718	0.4519900	0.5719313	0.1925930	0.3124083	0.6298705	0.7658512	0.5791545
900	0.7527784	0.3404965	0.5178137	0.4383784	0.4998629	0.1545587	0.3709950	0.5623657	0.6634348	0.6275493
