YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.4745741	0.7262626	0.6751506	0.1349878	0.0570859	0.2371413	1.1379464	0.5124957	1.0013856
0.0363617	0.0000000	0.7322358	0.4747621	0.1241956	0.0355209	0.2433787	0.9559407	0.4456525	0.8995589
0.0207303	0.0077500	0.0000000	0.4345501	0.0452936	0.0203489	0.2509109	1.0098320	0.3448614	1.0040980
0.9380500	0.4523634	0.6795700	0.0000000	0.3158412	0.1398130	0.3131762	0.9991937	0.7064554	1.0536272
1.0170318	0.4556811	0.8194446	0.7413184	0.0000000	0.1093631	0.2629087	0.9234466	0.4115142	1.0419916
0.9920736	0.5333229	0.8766847	0.8221115	0.0822751	0.0000000	0.3767705	0.8963509	0.4941727	0.9810833
0.9692525	0.5610699	0.9704808	0.8129356	0.0552305	0.0109369	0.0000000	0.8363372	0.5144984	0.9733847
0.0498438	0.1064924	0.1132493	0.4961572	0.0558033	0.0129044	1.0310438	0.0000000	0.5216106	1.1733893
0.9279261	0.5476560	0.7985294	0.6531032	0.3913534	0.1181242	0.3024852	0.9402280	0.0000000	0.9795727
0.9989073	0.4330128	0.5890797	0.4113612	0.7806415	0.4754708	0.5861678	0.4885352	0.7284582	0.0000000
