YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.3006819	0.5635467	0.5255035	0.1313096	0.0461084	0.1508760	0.8367796	0.3516293	0.6285162
0.0234657	0.0000000	0.5971317	0.2999303	0.1263592	0.0200537	0.2113291	0.6330823	0.4632180	0.6784089
0.0152331	0.0089899	0.0000000	0.3559940	0.0344651	0.0127587	0.1590476	0.8201044	0.2410431	0.7809756
0.7040743	0.3584218	0.5414486	0.0000000	0.2325496	0.1320326	0.2024448	0.6271302	0.4724906	0.7182923
0.7377269	0.3120646	0.6722370	0.5923779	0.0000000	0.1038996	0.2589945	0.7735376	0.3756255	0.8602815
0.7504574	0.4291368	0.7724832	0.6239775	0.0437371	0.0000000	0.2533243	0.7518901	0.3625287	0.7770329
0.7534561	0.4279964	0.7600356	0.5631829	0.0419543	0.0121779	0.0000000	0.7278132	0.4380570	0.7153687
0.0401549	0.0892939	0.1347549	0.4319059	0.0599008	0.0121443	0.7886519	0.0000000	0.3847353	0.8337685
0.7159568	0.4260006	0.5824037	0.3970341	0.2137459	0.0693265	0.3035748	0.7358191	0.0000000	0.7684653
0.7633048	0.2861887	0.4226543	0.2990618	0.6085484	0.3094944	0.4171357	0.3333309	0.5104367	0.0000000
