YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	0.9960199	0.7545234	0.4109490	0.5706480	1.0480901	0.1860013	0.5361264	0.9540223	1.0482874
0.9946280	0.0000000	0.6372920	0.4925310	0.6176010	1.0439955	0.7175097	0.1328506	1.0787955	1.0787356
1.0085245	0.0802738	0.0000000	1.0005966	0.0468575	0.0724989	0.7430465	0.0884831	0.9330683	1.0474086
0.9720161	0.1616076	0.0211380	0.0000000	0.0528950	0.0581339	0.8738118	0.1301315	1.0869845	1.0474828
0.2188896	1.0068381	1.0153213	1.0531697	0.0000000	0.9851104	0.1830668	0.5001900	1.0388209	1.0304683
0.2141256	1.0307027	0.9722411	1.0542861	0.0421729	0.0000000	0.2986373	0.4558343	0.9506703	1.0318405
0.1897538	0.9991114	0.6661816	0.4203540	0.7079427	0.9647418	0.0000000	0.4676363	0.9665195	1.0428566
0.2487563	0.9488266	0.7286017	0.4639744	0.6089379	1.0667477	1.0203832	0.0000000	1.0274422	1.0928471
0.2240144	0.9967606	0.4142955	0.3854194	0.6940278	1.0967236	0.0811038	0.9385390	0.0000000	0.8777061
0.2079754	1.0016231	0.6100372	0.3663156	0.6917926	1.0559207	0.0907306	1.0526579	0.0318957	0.0000000
