"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.1867261	0.9907912	0.6392718	0.4049508	0.7581638	0.9995842	0.2356429	0.4716553	0.9996209	0.7470509
100	0.1642040	0.9907151	0.6217752	0.3585329	0.8557362	0.9995691	0.2337164	0.4825097	0.9989330	0.4540306
150	0.1542131	0.9902408	0.5633862	0.3121225	0.9042580	0.9994546	0.2288258	0.4932615	0.9953642	0.2849304
200	0.1502447	0.9885496	0.4754005	0.2838349	0.9241973	0.9989455	0.2230266	0.5001632	0.9835399	0.2040758
250	0.1489772	0.9845282	0.3888387	0.2700551	0.9316323	0.9970072	0.2182466	0.5042669	0.9606898	0.1687148
300	0.1491816	0.9771252	0.3223103	0.2641385	0.9340605	0.9906240	0.2148878	0.5071227	0.9342324	0.1540351
350	0.1505118	0.9661309	0.2784253	0.2618663	0.9342043	0.9746725	0.2125736	0.5093252	0.9135008	0.1481453
400	0.1528433	0.9528659	0.2523480	0.2612672	0.9326180	0.9469539	0.2109398	0.5107315	0.9010303	0.1458382
450	0.1559183	0.9397140	0.2381963	0.2616282	0.9292768	0.9133685	0.2098661	0.5111446	0.8947097	0.1449503
500	0.1592731	0.9288043	0.2315232	0.2627284	0.9246023	0.8835374	0.2093502	0.5106509	0.8918401	0.1446133
550	0.1911590	0.9211993	0.2302160	0.2730857	0.7918396	0.8637469	0.2094446	0.5067386	0.9235315	0.3974358
600	0.2173530	0.9179789	0.2485963	0.3253967	0.6534028	0.8639630	0.2117203	0.4919046	0.9723308	0.6904090
650	0.2291665	0.9245580	0.3222693	0.4005786	0.5892211	0.9077319	0.2180814	0.4754842	0.9918891	0.8594918
700	0.2321455	0.9423256	0.4451131	0.4554001	0.5854983	0.9575063	0.2266250	0.4646982	0.9976347	0.9403399
750	0.2298142	0.9617130	0.5663112	0.4718740	0.6083921	0.9831184	0.2341678	0.4599823	0.9991514	0.9756985
800	0.2254116	0.9759393	0.6499890	0.4626985	0.6314795	0.9934849	0.2389674	0.4595495	0.9995392	0.9903774
850	0.2212031	0.9844372	0.6905326	0.4466081	0.6466845	0.9974358	0.2409421	0.4612936	0.9996397	0.9962669
900	0.2180840	0.9888935	0.6991468	0.4333573	0.6549703	0.9989100	0.2409285	0.4636037	0.9996669	0.9985739
950	0.2160917	0.9909511	0.6908015	0.4249523	0.6590203	0.9994444	0.2399299	0.4656223	0.9996749	0.9994617
1000	0.2149547	0.9917088	0.6770735	0.4203324	0.6608608	0.9996215	0.2386907	0.4670769	0.9996773	0.9997988

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.2142175	0.9909061	0.6829970	0.4161834	0.6620928	0.9996129	0.2357571	0.4688809	0.9996786	1.0000000
100	0.2141955	0.9915320	0.7383682	0.4161877	0.6621075	0.9997069	0.2357493	0.4688635	0.9996786	1.0000000
150	0.2140675	0.9924581	0.7747831	0.4161771	0.6621527	0.9997915	0.2357528	0.4688770	0.9996786	1.0000000
200	0.2138609	0.9932779	0.7947839	0.4161478	0.6622085	0.9998435	0.2357455	0.4689425	0.9996786	1.0000000
250	0.2136435	0.9938510	0.8048928	0.4161091	0.6622558	0.9998716	0.2357128	0.4690520	0.9996786	1.0000000
300	0.2134625	0.9942022	0.8097620	0.4160725	0.6622886	0.9998858	0.2356537	0.4691767	0.9996786	1.0000000
350	0.2133322	0.9944004	0.8120317	0.4160444	0.6623088	0.9998928	0.2355792	0.4692904	0.9996786	1.0000000
400	0.2132474	0.9945060	0.8130626	0.4160255	0.6623202	0.9998962	0.2355037	0.4693795	0.9996786	1.0000000
450	0.2131960	0.9945600	0.8135200	0.4160139	0.6623264	0.9998978	0.2354382	0.4694422	0.9996786	1.0000000
500	0.2131664	0.9945867	0.8137183	0.4160073	0.6623296	0.9998985	0.2353874	0.4694830	0.9996786	1.0000000
550	0.2131511	0.9945415	0.7708441	0.4160037	0.6623309	0.9998920	0.2353513	0.4695079	0.9996786	1.0000000
600	0.2131661	0.9941459	0.7153499	0.4160025	0.6623261	0.9998540	0.2353275	0.4695203	0.9996786	1.0000000
650	0.2132531	0.9934079	0.6788686	0.4160067	0.6623057	0.9997894	0.2353144	0.4695115	0.9996786	1.0000000
