YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0123089	0.3436254	0.1633238	0.5721049	0.4396754	0.3857778	0.2335992	0.4979791	0.4262276	0.5761383
0.6674339	0.0092554	0.2534166	0.5168296	0.2692425	0.4235512	0.0604851	0.6513091	0.2346810	0.7410329
0.0012558	0.6011018	0.2044319	0.7126212	0.4441562	0.5535600	0.1535043	0.6802846	0.1943564	0.8250277
0.6209596	0.0033773	0.1464608	0.6525784	0.4359953	0.4273395	0.1599667	0.5442713	0.4632977	0.6266534
0.4094119	0.0036642	0.1816488	0.5048778	0.3626060	0.1409444	0.1872342	0.5313965	0.2474073	0.6423737
0.7860031	0.0005891	0.1667454	0.6353541	0.6662739	0.2153773	0.1900819	0.5107862	0.2952561	0.7074970
0.5858360	0.0265194	0.3516082	0.4135348	0.2021585	0.7213879	0.0945399	0.9370248	0.1883135	0.6569310
0.0464364	0.2772375	0.2896881	0.8115851	0.5670720	0.1224211	0.6754156	0.1259200	0.3856325	0.7429948
0.4687190	0.0249990	0.2362628	0.5750232	0.6539202	0.3211379	0.2668055	0.4276902	0.2595372	0.7251612
0.2677531	0.1846359	0.1694222	0.6958578	0.5648343	0.3855439	0.1258691	0.6212382	0.2338251	0.7697800
