"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.9979095	0.0346846	0.3491615	0.8742884	0.5933585	0.4274358	0.2297549	0.5132756	0.5175665	0.3552417
100	0.9979203	0.0340834	0.3291969	0.9120690	0.6280003	0.4210183	0.3312546	0.3406264	0.8407361	0.1594499
150	0.9979911	0.0330574	0.3103632	0.9294803	0.7007521	0.4014713	0.4883390	0.2161488	0.9658890	0.0999943
200	0.9981283	0.0321703	0.2970187	0.9424388	0.7771055	0.3689302	0.6607978	0.1501745	0.9931628	0.0819397
250	0.9982879	0.0315856	0.2880328	0.9532426	0.8327444	0.3315485	0.7909812	0.1220763	0.9983977	0.0764570
300	0.9984296	0.0312283	0.2818105	0.9612172	0.8654792	0.2988627	0.8644587	0.1113198	0.9994039	0.0747922
350	0.9985379	0.0310075	0.2774355	0.9664309	0.8825632	0.2751526	0.8994147	0.1074427	0.9996087	0.0742866
400	0.9986142	0.0308671	0.2744164	0.9695640	0.8908796	0.2599527	0.9145329	0.1060948	0.9996542	0.0741331
450	0.9986656	0.0307766	0.2724110	0.9713400	0.8947374	0.2509983	0.9206978	0.1056363	0.9996654	0.0740864
500	0.9986996	0.0307185	0.2711353	0.9723032	0.8964564	0.2460340	0.9231091	0.1054823	0.9996684	0.0740723
550	0.9987216	0.0306868	0.2723364	0.9316907	0.8967865	0.2437498	0.8844221	0.2439836	0.9645161	0.7188263
600	0.9987350	0.0307171	0.2777503	0.9175678	0.8923638	0.2467683	0.7766418	0.3211941	0.7130340	0.9146168
650	0.9987393	0.0308204	0.2834923	0.9120526	0.8802822	0.2578485	0.6482482	0.4646418	0.5024701	0.9740719
700	0.9987338	0.0309537	0.2877404	0.9084537	0.8581949	0.2775387	0.4953441	0.6402128	0.4130404	0.9921265
750	0.9987203	0.0310767	0.2906530	0.9037837	0.8207988	0.3060225	0.3636996	0.7632416	0.3812847	0.9976091
800	0.9987029	0.0311767	0.2930513	0.8958405	0.7682005	0.3388633	0.2818851	0.8275589	0.3706523	0.9992740
850	0.9986849	0.0312649	0.2958687	0.8828100	0.7109632	0.3688849	0.2390864	0.8567704	0.3671895	0.9997795
900	0.9986674	0.0313664	0.2999655	0.8642971	0.6625058	0.3917487	0.2185113	0.8690437	0.3660819	0.9999330
950	0.9986491	0.0315114	0.3059013	0.8422867	0.6291992	0.4070558	0.2090979	0.8739468	0.3657324	0.9999797
1000	0.9986268	0.0317291	0.3136436	0.8204740	0.6096150	0.4164273	0.2049491	0.8758362	0.3656232	0.9999938

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.8351679	0.3281680	0.3381379	0.7855148	0.7429273	0.4281607	0.2019648	0.8769502	0.3655743	1.0000000
100	0.4247746	0.3513003	0.3262749	0.8216578	0.7774579	0.4310170	0.2019648	0.8769502	0.3655743	1.0000000
150	0.2099618	0.3527144	0.3132492	0.8489405	0.7852690	0.4360098	0.2019648	0.8769502	0.3655743	1.0000000
200	0.1155693	0.3524306	0.3008014	0.8641729	0.7870360	0.4403903	0.2019648	0.8769502	0.3655743	1.0000000
250	0.0753602	0.3520942	0.2911593	0.8716417	0.7874357	0.4432664	0.2019648	0.8769502	0.3655743	1.0000000
300	0.0584538	0.3518517	0.2847213	0.8750461	0.7875261	0.4449000	0.2019648	0.8769502	0.3655743	1.0000000
350	0.0514114	0.3516980	0.2808412	0.8765255	0.7875466	0.4457522	0.2019648	0.8769502	0.3655743	1.0000000
400	0.0485044	0.3516069	0.2786694	0.8771471	0.7875512	0.4461717	0.2019648	0.8769502	0.3655743	1.0000000
450	0.0473167	0.3515554	0.2775199	0.8774016	0.7875522	0.4463692	0.2019648	0.8769502	0.3655743	1.0000000
500	0.0468375	0.3515273	0.2769377	0.8775038	0.7875525	0.4464585	0.2019648	0.8769502	0.3655743	1.0000000
550	0.0950940	0.0567772	0.2947509	0.8684942	0.6349034	0.4415049	0.2019648	0.8769502	0.3655743	1.0000000
600	0.3916345	0.0333351	0.3040675	0.8404425	0.6003727	0.4346154	0.2019648	0.8769502	0.3655743	1.0000000
650	0.7219612	0.0317671	0.3136233	0.8111337	0.5925615	0.4310005	0.2019648	0.8769502	0.3655743	1.0000000
700	0.8826856	0.0320221	0.3245960	0.7907925	0.5907946	0.4293153	0.2019648	0.8769502	0.3655743	1.0000000
750	0.9507483	0.0325151	0.3350375	0.7793704	0.5903949	0.4285428	0.2019648	0.8769502	0.3655743	1.0000000
800	0.9788569	0.0330728	0.3432931	0.7737001	0.5903045	0.4281900	0.2019648	0.8769502	0.3655743	1.0000000
850	0.9903511	0.0335992	0.3489549	0.7710946	0.5902840	0.4280291	0.2019648	0.8769502	0.3655743	1.0000000
900	0.9950008	0.0340250	0.3524477	0.7699575	0.5902794	0.4279559	0.2019648	0.8769502	0.3655743	1.0000000
950	0.9968466	0.0343272	0.3544376	0.7694789	0.5902783	0.4279227	0.2019648	0.8769502	0.3655743	1.0000000
1000	0.9975547	0.0345203	0.3555044	0.7692827	0.5902781	0.4279076	0.2019648	0.8769502	0.3655743	1.0000000

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.9979270	0.0333224	0.2774812	0.7691588	0.5902835	0.2174259	0.2021102	0.8652907	0.5280884	0.3173143
100	0.9980771	0.0313178	0.2468903	0.7691858	0.5912391	0.1216074	0.2093206	0.7256796	0.8590228	0.1100052
150	0.9983241	0.0304505	0.2350203	0.7700756	0.6030408	0.0778039	0.2505335	0.5187173	0.9734191	0.0470522
200	0.9985408	0.0301445	0.2301397	0.7762468	0.6434065	0.0571336	0.3384694	0.3954774	0.9955024	0.0279355
250	0.9986868	0.0300295	0.2268772	0.7934485	0.7052972	0.0463492	0.4434766	0.3416566	0.9992523	0.0221304
300	0.9987733	0.0299712	0.2223293	0.8191473	0.7620608	0.0398846	0.5267459	0.3210000	0.9998727	0.0203675
350	0.9988218	0.0299203	0.2158331	0.8447191	0.8006059	0.0357166	0.5767195	0.3135944	0.9999753	0.0198322
400	0.9988494	0.0298654	0.2084894	0.8646197	0.8227697	0.0330574	0.6017931	0.3110412	0.9999925	0.0196697
450	0.9988667	0.0298121	0.2017061	0.8780010	0.8343193	0.0314390	0.6129983	0.3101807	0.9999955	0.0196203
500	0.9988791	0.0297679	0.1962868	0.8862097	0.8399384	0.0305052	0.6176312	0.3098946	0.9999960	0.0196053
550	0.9988876	0.0298670	0.2620297	0.8909340	0.8425242	0.1796572	0.6194317	0.3102588	0.9749396	0.7022865
600	0.9988828	0.0302954	0.2859594	0.8935210	0.8436015	0.2471982	0.6166426	0.3376770	0.7311767	0.9095942
650	0.9988516	0.0308044	0.2943449	0.8948482	0.8424666	0.2787308	0.5778491	0.4606889	0.5108149	0.9725467
700	0.9987981	0.0311596	0.2971197	0.8951369	0.8326459	0.2986861	0.4744393	0.6329125	0.4159605	0.9916634
750	0.9987398	0.0313427	0.2980518	0.8935137	0.8054166	0.3209010	0.3603067	0.7585763	0.3822381	0.9974684
800	0.9986909	0.0314252	0.2987562	0.8881563	0.7603213	0.3474376	0.2824226	0.8252803	0.3709566	0.9992312
850	0.9986562	0.0314735	0.3002232	0.8773237	0.7079289	0.3731889	0.2399226	0.8557813	0.3672855	0.9997666
900	0.9986331	0.0315351	0.3032379	0.8606861	0.6618944	0.3937025	0.2190421	0.8686419	0.3661119	0.9999291
950	0.9986156	0.0316466	0.3082841	0.8401978	0.6294121	0.4078760	0.2093705	0.8737905	0.3657417	0.9999785
1000	0.9985967	0.0318367	0.3152868	0.8194660	0.6099356	0.4167489	0.2050755	0.8757773	0.3656261	0.9999935

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.7047141	0.0339255	0.3144576	0.7691588	0.5902781	0.4278947	0.2019648	0.8769502	0.3655743	1.0000000
100	0.5861663	0.0325222	0.2981917	0.7691554	0.5902781	0.4278948	0.2019648	0.8769502	0.3655743	1.0000000
150	0.5382881	0.0317277	0.2918928	0.7691540	0.5902780	0.4278946	0.2019648	0.8769502	0.3655743	1.0000000
200	0.5189767	0.0313746	0.2894537	0.7691534	0.5902780	0.4278943	0.2019648	0.8769502	0.3655743	1.0000000
250	0.5111971	0.0312256	0.2885092	0.7691532	0.5902780	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
300	0.5080667	0.0311635	0.2881435	0.7691531	0.5902780	0.4278938	0.2019648	0.8769502	0.3655743	1.0000000
350	0.5068085	0.0311379	0.2880019	0.7691530	0.5902780	0.4278937	0.2019648	0.8769502	0.3655743	1.0000000
400	0.5063034	0.0311274	0.2879471	0.7691530	0.5902780	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
450	0.5061008	0.0311232	0.2879259	0.7691530	0.5902780	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
500	0.5060197	0.0311215	0.2879177	0.7691530	0.5902780	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
550	0.7993989	0.0315050	0.3299665	0.7691530	0.5902780	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
600	0.9180300	0.0325475	0.3462552	0.7691530	0.5902780	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
650	0.9659270	0.0335373	0.3525650	0.7691530	0.5902780	0.4278939	0.2019648	0.8769502	0.3655743	1.0000000
700	0.9851938	0.0341698	0.3550092	0.7691530	0.5902780	0.4278942	0.2019648	0.8769502	0.3655743	1.0000000
750	0.9928953	0.0344981	0.3559561	0.7691530	0.5902780	0.4278945	0.2019648	0.8769502	0.3655743	1.0000000
800	0.9959479	0.0346499	0.3563229	0.7691530	0.5902780	0.4278948	0.2019648	0.8769502	0.3655743	1.0000000
850	0.9971457	0.0347157	0.3564649	0.7691530	0.5902780	0.4278950	0.2019648	0.8769502	0.3655743	1.0000000
900	0.9976106	0.0347431	0.3565200	0.7691530	0.5902780	0.4278952	0.2019648	0.8769502	0.3655743	1.0000000
950	0.9977889	0.0347543	0.3565413	0.7691530	0.5902780	0.4278952	0.2019648	0.8769502	0.3655743	1.0000000
1000	0.9978564	0.0347588	0.3565496	0.7691530	0.5902780	0.4278953	0.2019648	0.8769502	0.3655743	1.0000000

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.6360626	0.0347371	0.3550733	0.7891149	0.5902781	0.5251004	0.2019648	0.8769502	0.3655743	1.0000000
100	0.4896992	0.0346146	0.3509830	0.7961212	0.5902781	0.5693484	0.2019648	0.8769502	0.3655743	1.0000000
150	0.4305029	0.0343621	0.3469524	0.7985820	0.5902780	0.5894898	0.2019648	0.8769502	0.3655743	1.0000000
200	0.4065706	0.0340963	0.3441663	0.7994462	0.5902780	0.5986581	0.2019648	0.8769502	0.3655743	1.0000000
250	0.3969039	0.0338923	0.3425427	0.7997498	0.5902780	0.6028315	0.2019648	0.8769502	0.3655743	1.0000000
300	0.3930059	0.0337608	0.3416869	0.7998564	0.5902780	0.6047311	0.2019648	0.8769502	0.3655743	1.0000000
350	0.3914380	0.0336848	0.3412643	0.7998938	0.5902780	0.6055958	0.2019648	0.8769502	0.3655743	1.0000000
400	0.3908095	0.0336439	0.3410652	0.7999070	0.5902780	0.6059893	0.2019648	0.8769502	0.3655743	1.0000000
