YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.3232122	0.7618918	0.9858457	0.2312634	0.3723783	0.4590134	0.0524276	0.9153843	0.2710956
0.0859947	0.0000000	0.5045961	1.0040686	0.1194575	0.6325602	0.8519484	0.2204568	0.8245617	0.3647115
0.9816818	1.0879573	0.0000000	1.0216972	0.1241272	0.7264567	0.9101709	0.5270691	1.0099458	0.0962404
0.9863216	0.3828457	0.4592189	0.0000000	0.0949360	0.7759269	0.8683444	0.6636662	0.3694178	0.7098568
1.0614973	0.4222082	0.4813136	1.0080041	0.0000000	0.6774000	0.9463723	0.5110175	0.8734456	0.2139840
1.0528709	0.2567404	1.0594895	0.4492152	1.0866817	0.0000000	0.8643638	0.4765042	0.9360956	0.2717213
1.0371446	0.2658343	1.0176098	0.6205734	0.8991981	0.0130569	0.0000000	0.5200986	0.9406709	0.2550634
0.9968738	0.2428900	1.0356940	0.6524886	0.8527558	0.0201713	0.0158974	0.0000000	0.9042896	0.2845493
0.9978154	0.4463449	0.4802519	1.0241015	0.1268592	0.7134770	0.9951451	0.8976858	0.0000000	0.2590354
0.9911701	0.3853721	0.5414588	0.9594466	0.1075286	0.6000302	0.9350383	0.9948883	0.9508733	0.0000000
