"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.9962807	0.3938643	0.4817442	0.9910972	0.1108449	0.6887606	0.9289988	0.5093448	0.9562200	0.2256914
50	0.9962852	0.3939001	0.4817360	0.9918384	0.0763744	0.6888484	0.9314731	0.6203600	0.9563586	0.2256035
100	0.9962875	0.3939200	0.4816784	0.9946593	0.0466084	0.6901483	0.9403557	0.7224024	0.9564323	0.2255585
150	0.9962887	0.3939588	0.4813337	0.9971899	0.0341075	0.6931710	0.9482400	0.7682860	0.9564708	0.2255343
200	0.9962899	0.3941005	0.4805309	0.9985711	0.0296590	0.6964134	0.9526809	0.7855515	0.9564919	0.2255127
250	0.9962927	0.3944282	0.4794315	0.9991804	0.0281402	0.6987818	0.9547374	0.7915656	0.9565089	0.2254692
300	0.9962985	0.3949402	0.4783385	0.9994225	0.0276080	0.7001689	0.9555950	0.7935795	0.9565363	0.2253785
350	0.9963079	0.3955490	0.4774573	0.9995138	0.0274088	0.7008744	0.9559302	0.7942424	0.9565874	0.2252304
400	0.9963198	0.3961442	0.4768434	0.9995475	0.0273289	0.7012001	0.9560556	0.7944632	0.9566683	0.2250375
450	0.9963324	0.3966472	0.4764590	0.9995599	0.0272953	0.7013402	0.9561014	0.7945423	0.9567744	0.2248273
500	0.9963440	0.3970272	0.4762372	0.9995645	0.0272809	0.7013976	0.9561180	0.7945760	0.9568926	0.2246279
550	0.9963536	0.3972900	0.4761172	0.9993408	0.0612117	0.7013837	0.9549004	0.6836076	0.9570082	0.2244590
600	0.9963609	0.3974583	0.4760807	0.9977840	0.0905198	0.7006815	0.9487367	0.5816066	0.9571096	0.2243282
650	0.9963660	0.3975454	0.4762483	0.9953895	0.1028742	0.6985168	0.9408392	0.5357473	0.9571909	0.2242349
700	0.9963691	0.3975202	0.4767966	0.9934386	0.1073983	0.6955087	0.9349489	0.5184951	0.9572509	0.2241772
750	0.9963697	0.3973212	0.4777105	0.9922764	0.1091305	0.6927815	0.9316515	0.5124879	0.9572892	0.2241605
800	0.9963669	0.3969251	0.4787740	0.9916823	0.1099181	0.6908876	0.9300959	0.5104762	0.9573028	0.2241981
850	0.9963604	0.3963837	0.4797496	0.9913937	0.1103397	0.6897892	0.9294370	0.5098109	0.9572857	0.2242994
900	0.9963506	0.3957956	0.4805049	0.9912513	0.1105782	0.6892284	0.9291763	0.5095826	0.9572337	0.2244578
950	0.9963389	0.3952541	0.4810205	0.9911781	0.1107098	0.6889673	0.9290767	0.5094914	0.9571495	0.2246512
1000	0.9963270	0.3948141	0.4813400	0.9911395	0.1107786	0.6888536	0.9290383	0.5094424	0.9570434	0.2248510

0	0.9962807	0.3938643	0.4817442	0.9910972	0.1108449	0.6887606	0.9289988	0.5093448	0.9562200	0.2256914
50	0.9968697	0.3183526	0.4796827	0.9919895	0.0682664	0.7455701	0.9521412	0.5115880	0.9620922	0.1533031
100	0.9965089	0.2286430	0.4688101	0.9952125	0.0312022	0.7952417	0.9684034	0.5285482	0.9807458	0.0747747
150	0.9940234	0.1772462	0.4540010	0.9978724	0.0154341	0.8169402	0.9747248	0.5705678	0.9932894	0.0323275
200	0.9897913	0.1552768	0.4416413	0.9991842	0.0097891	0.8250842	0.9779916	0.6401128	0.9980772	0.0131674
250	0.9855856	0.1488814	0.4334851	0.9997027	0.0079070	0.8281440	0.9806446	0.7230274	0.9995047	0.0051910
300	0.9828610	0.1489690	0.4287573	0.9998864	0.0072997	0.8295085	0.9829423	0.7958942	0.9998802	0.0020134
350	0.9817277	0.1509444	0.4261999	0.9999479	0.0071052	0.8303005	0.9846771	0.8460219	0.9999722	0.0007804
400	0.9815851	0.1529466	0.4248496	0.9999678	0.0070417	0.8308309	0.9858106	0.8749260	0.9999937	0.0003100
450	0.9818547	0.1544467	0.4241292	0.9999742	0.0070195	0.8311850	0.9864718	0.8896811	0.9999986	0.0001324
500	0.9822051	0.1554365	0.4237336	0.9999762	0.0070107	0.8314070	0.9868258	0.8966125	0.9999997	0.0000658
550	0.9791673	0.2346647	0.4250837	0.9998765	0.0437533	0.7795995	0.9741503	0.8265344	0.9998223	0.1021475
600	0.9837473	0.3281601	0.4338714	0.9988041	0.0784000	0.7341210	0.9614414	0.6698952	0.9933089	0.1972072
650	0.9896686	0.3809329	0.4468607	0.9966654	0.0957942	0.7129054	0.9500165	0.5717668	0.9753035	0.2301098
700	0.9933846	0.4024754	0.4585731	0.9945462	0.1036582	0.7026137	0.9404535	0.5291767	0.9602596	0.2328134
750	0.9952445	0.4077369	0.4671189	0.9930462	0.1072129	0.6966069	0.9342451	0.5145351	0.9548913	0.2280060
800	0.9960593	0.4064260	0.4728202	0.9921531	0.1089274	0.6928782	0.9310795	0.5106721	0.9552085	0.2239945
850	0.9963649	0.4033295	0.4764770	0.9916620	0.1098271	0.6907288	0.9297612	0.5100144	0.9568465	0.2222115
900	0.9964455	0.4003535	0.4787497	0.9913980	0.1103198	0.6896306	0.9292979	0.5099661	0.9579778	0.2220120
950	0.9964381	0.3980538	0.4801063	0.9912558	0.1105853	0.6891332	0.9291518	0.5098973	0.9583503	0.2225602
1000	0.9964045	0.3964555	0.4808776	0.9911792	0.1107210	0.6889288	0.9291003	0.5097641	0.9582228	0.2233091

0	0.9962807	0.3938643	0.4817442	0.9910972	0.1108449	0.6887606	0.9289988	0.5093448	0.9562200	0.2256914
50	0.9969117	0.3761841	0.4808088	0.9918175	0.0773751	0.7138532	0.9290008	0.5093415	0.9563314	0.2262310
100	0.9973743	0.3554464	0.4758935	0.9945886	0.0479673	0.7344013	0.9289987	0.5092055	0.9558143	0.2299805
150	0.9974310	0.3444681	0.4692782	0.9971119	0.0352367	0.7423986	0.9289752	0.5087158	0.9538436	0.2357685
200	0.9973445	0.3410826	0.4638851	0.9985104	0.0305801	0.7449555	0.9289128	0.5080245	0.9507436	0.2408676
250	0.9972684	0.3415105	0.4604421	0.9991359	0.0289944	0.7456867	0.9288258	0.5074579	0.9476282	0.2440380
