"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.6575522	0.2583049	0.4062211	0.7926296	0.0945544	0.4572132	0.6594259	0.4138262	0.7113836	0.1104613
50	0.6731903	0.3071052	0.4259843	0.6938751	0.0438471	0.5289512	0.6703130	0.3522114	0.7304690	0.2365139
100	0.5937324	0.2808987	0.3245493	0.7516888	0.0252733	0.5537693	0.6855666	0.4422781	0.6762207	0.1873221
150	0.7364189	0.1675836	0.4128559	0.8475178	0.0158718	0.5312775	0.6809482	0.5440682	0.7902532	0.1308082
200	0.7684108	0.2716283	0.3805678	0.8507349	0.0401015	0.5093139	0.7332539	0.5611433	0.6823516	0.1393853
250	0.7682027	0.2919671	0.3044566	0.7965388	0.0429017	0.5521702	0.7544584	0.6345433	0.6060155	0.1415675
300	0.6401724	0.1937711	0.3868011	0.6363486	0.0104489	0.4084148	0.6477014	0.6648010	0.7349589	0.2068234
350	0.7805119	0.2956509	0.4242798	0.6969452	0.0111882	0.6167289	0.7592506	0.5893710	0.6828729	0.2202147
400	0.7618206	0.2629496	0.3709782	0.6977092	0.0137049	0.6449919	0.7213429	0.4383033	0.6521678	0.2494316
450	0.6608718	0.3170230	0.4461458	0.6786520	0.0333659	0.6124494	0.6973568	0.6925330	0.6210010	0.2245698
500	0.8169333	0.2409990	0.3347808	0.6743369	0.0155516	0.5126423	0.7229785	0.5129929	0.6537662	0.2330249
550	0.8893540	0.2193731	0.2682387	0.7291883	0.0541907	0.4436864	0.6721540	0.5122438	0.6623271	0.2158290
600	0.7170562	0.2608191	0.2807100	0.7686494	0.0651750	0.4697660	0.7846406	0.4026510	0.6796561	0.1646846
650	0.8507751	0.2347870	0.3840478	0.7042544	0.0592554	0.5109205	0.7172445	0.3858296	0.6729805	0.1972898
700	0.7299822	0.2611103	0.4215499	0.5817852	0.0714386	0.6399537	0.7979333	0.4728971	0.6006536	0.1340157
750	0.6989568	0.2451382	0.3268341	0.5860125	0.1263142	0.4711673	0.6739767	0.3932724	0.6320342	0.1700691
800	0.6147674	0.2718113	0.3378985	0.7173474	0.0395778	0.4160101	0.6761939	0.2890065	0.6495017	0.2103980
850	0.8662143	0.3425590	0.3677855	0.7479381	0.1140246	0.5378625	0.6619046	0.3187250	0.7308233	0.1048888
900	0.6515769	0.3467825	0.3615056	0.8001106	0.0951509	0.6808693	0.5939749	0.3355256	0.6526205	0.1253695
950	0.7530575	0.2923790	0.3793195	0.8554425	0.0190583	0.5046402	0.7239528	0.3414455	0.6180680	0.1075120
1000	0.8613149	0.2720749	0.3851835	0.6939395	0.0708952	0.5241182	0.5906462	0.4219977	0.6316980	0.2097328

0	0.7088151	0.3377312	0.3832085	0.6901136	0.0581741	0.4663964	0.7337805	0.3763054	0.7792357	0.1637774
50	0.7778646	0.2576574	0.2831264	0.7139793	0.0669002	0.4820604	0.7477562	0.3662800	0.7680744	0.1286330
100	0.6748471	0.1458323	0.3486950	0.5921787	0.0168159	0.6672813	0.8093877	0.4075458	0.7715980	0.0571588
150	0.6569595	0.1352925	0.2538846	0.6869947	0.0158480	0.7122640	0.7396715	0.3483321	0.7781672	0.0340288
200	0.6558299	0.1120291	0.2720162	0.6872346	0.0098189	0.4911303	0.6577377	0.4661541	0.8117868	0.0092150
250	0.6907357	0.1007098	0.3006641	0.6839645	0.0178817	0.6270562	0.5795870	0.6030111	0.6216611	0.0005538
300	0.6889991	0.0761596	0.4225247	0.7656018	0.0175975	0.6299960	0.7515361	0.6184313	0.7383705	0.0018472
350	0.6278815	0.1204743	0.3003290	0.7461834	0.0126025	0.7965305	0.6218776	0.7556655	0.7221526	0.0000260
