YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.2173542	0.0456641	0.1900534	0.3066780	0.6073146	0.1805365	0.6407288	0.6276340	0.8862537	0.0193367
0.4465790	0.0066424	0.1712592	0.3701761	0.8197747	0.2074262	0.6371824	0.6431821	0.7072886	0.0211232
0.3721823	0.0515647	0.0706872	0.2318790	0.7744896	0.2375633	0.7180112	0.7166314	0.7039417	0.0216751
0.4597609	0.0447736	0.2167906	0.1072642	0.7094984	0.2881326	0.7187019	0.7080746	0.7077609	0.0211571
0.3253220	0.0354835	0.1637252	0.5892609	0.1244783	0.7225682	0.7696376	0.7457946	0.6835516	0.0869924
0.3572133	0.0229677	0.1393452	0.3100605	0.7212839	0.1417904	0.7175678	0.5403810	0.7906250	0.0191433
0.3836707	0.0335396	0.1886359	0.2721999	0.7709800	0.2462117	0.3538607	0.7038801	0.8197877	0.0186616
0.3350491	0.0725873	0.1719555	0.3074343	0.6241998	0.2013057	0.3547637	0.4187162	0.6272464	0.0260399
0.3442391	0.0516068	0.1520379	0.2016642	0.8007567	0.2430157	0.4717378	0.7252312	0.3504902	0.0198627
0.3033577	0.0361367	0.2019586	0.3223514	0.7563011	0.2824397	0.7810781	0.7509636	0.7360860	0.0161279
