YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.1151960	0.3118551	0.9370330	0.7968891	0.6912798	0.6722963	0.3082417	0.0195694	0.7623560	0.5652547
0.1265844	0.2526838	0.6866103	0.4299937	0.6288840	0.8623503	0.3910853	0.0070514	0.6177488	0.5902056
0.0870154	0.1831562	0.9405434	0.4853284	0.7208034	0.5122251	0.2383571	0.0042178	0.7916418	0.2843980
0.1496080	0.2040320	0.9297727	0.7380711	0.7353604	0.5562730	0.2375197	0.0127687	0.8652248	0.4685950
0.1117263	0.3492344	0.6591110	0.4184941	0.6091368	0.9317915	0.9679899	0.3362705	0.2032937	0.5985315
0.0136712	0.2796198	0.8579842	0.5007715	0.7640089	0.4825349	0.1708101	0.0023280	0.8560339	0.5017003
0.0172039	0.2576576	0.7331860	0.4525993	0.6694931	0.7334954	0.3422277	0.0205654	0.7238143	0.5738244
0.0370460	0.2107958	0.8971546	0.6161686	0.8326031	0.3398404	0.1948538	0.0168762	0.9502408	0.5158533
0.1051589	0.6468994	0.0844534	0.1596584	0.2499198	0.9689046	0.6401269	0.0722819	0.3178650	0.3549541
0.0647197	0.1557325	0.9927659	0.7884486	0.7471439	0.3206973	0.1196658	0.0165663	0.9892151	0.3357852
