YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0668853	0.2315729	0.7592511	0.6762254	0.5546355	0.3786760	0.1212578	0.0105455	0.6531618	0.4966753
0.1469123	0.1796701	0.5702277	0.2974058	0.4565649	0.7529111	0.2950976	0.0052589	0.4387160	0.5588987
0.0498905	0.1103382	0.8050316	0.3384191	0.5114114	0.4251485	0.2249096	0.0035011	0.5982292	0.2372437
0.1260207	0.1549363	0.6151128	0.5705744	0.5206876	0.4327850	0.1872819	0.0170133	0.6901346	0.3164382
0.0917853	0.2203985	0.5445552	0.3035579	0.3752087	0.6189174	0.9922147	0.2897047	0.1496138	0.3622036
0.0031746	0.2202330	0.7601552	0.4158544	0.5308524	0.5236875	0.2204096	0.0086603	0.7649380	0.4311083
0.0153627	0.1354438	0.5019811	0.3984945	0.5627807	0.6682890	0.2478812	0.0191923	0.5074053	0.4413997
0.0556070	0.2243325	0.7079190	0.4558352	0.6435836	0.1717513	0.1199377	0.0275955	0.6965120	0.3438648
0.1331785	0.5977489	0.0587996	0.0969349	0.2243418	0.9098530	0.5631241	0.0459171	0.1915864	0.2639134
0.1013546	0.1380929	0.6725914	0.6955796	0.5271767	0.2059789	0.0320094	0.0196205	0.8780612	0.2142243
