YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0779688	0.4821985	0.4553398	0.7206948	0.0687263	0.0173746	0.0416440	0.7654922	0.8337586	0.7738353
0.0470637	0.2280012	0.4403024	0.7798948	0.0224988	0.0047681	0.0371265	0.6572120	0.8171527	0.8354216
0.3905951	0.6035213	0.2656811	0.7149157	0.0243955	0.0251811	0.0416660	0.7163819	0.7606927	0.7085745
0.2247690	0.4448476	0.4459358	0.3273411	0.0259542	0.0169707	0.0264647	0.7628429	0.7787870	0.7254587
0.1849819	0.3194453	0.4174248	0.7147568	0.0063069	0.0209424	0.0265589	0.7113720	0.7302747	0.7486665
0.1702415	0.5398448	0.4724840	0.8291652	0.0364546	0.0015440	0.0567228	0.7830177	0.7165355	0.7583494
0.1736428	0.3696351	0.4186500	0.7674355	0.0409869	0.0149363	0.0077990	0.7169076	0.7761230	0.7140363
0.1118160	0.4953462	0.5566169	0.6862815	0.0201027	0.0048543	0.0762642	0.3839284	0.7998951	0.6583563
0.2812804	0.5390552	0.2728301	0.6555763	0.0410278	0.0099142	0.0907452	0.6903738	0.3736647	0.6971929
0.2377154	0.4443477	0.3752312	0.6472380	0.0481037	0.0262628	0.0578634	0.7247875	0.7839446	0.4060028
