YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.3940267	0.5071585	0.8723603	0.0226400	0.0179037	0.0175622	0.7990855	0.8845135	0.6083054
0.0211241	0.0000000	0.4023100	0.6364760	0.0437204	0.0006655	0.0364084	0.7028053	0.8773595	0.7937041
0.3473749	0.7909849	0.0000000	0.6750971	0.0294205	0.0130736	0.0149245	0.8783193	0.6076290	0.7388291
0.2968659	0.5995875	0.2404414	0.0000000	0.0238103	0.0090379	0.0300315	0.7908565	0.8141344	0.8902140
0.1221012	0.3947752	0.3830990	0.8514523	0.0000000	0.0055029	0.0780061	0.8263622	0.8580156	0.7858020
0.1703259	0.4192244	0.4327530	0.8300993	0.0319497	0.0000000	0.0736878	0.7827571	0.6954741	0.6339733
0.1973158	0.4248819	0.5235014	0.7521368	0.0240435	0.0047071	0.0000000	0.6942079	0.8804853	0.6744546
0.2673828	0.5010552	0.4173455	0.4916426	0.3698856	0.7001845	0.7255936	0.0000000	0.6542852	0.7461641
0.4791759	0.7514373	0.1212188	0.3244429	0.0286123	0.0040292	0.0340575	0.8973584	0.0000000	0.6665744
0.2666921	0.6320923	0.2930778	0.6020797	0.0297313	0.0093820	0.0598041	0.7732808	0.6611187	0.0000000
