YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1845558	0.5422898	0.5502026	0.6607364	0.0000000	0.0000000	0.0746984	0.6972070	0.9450276	1.0000000
0.1112502	0.4342429	0.5182946	0.9756242	0.0000418	0.0143373	0.0133235	0.8551683	1.0000000	0.5977663
0.4950283	0.5649418	0.5884112	0.9881294	0.0001027	0.0279472	0.0205474	0.8728980	0.9850963	1.0000000
0.0109212	0.1640169	0.7391736	0.9965392	0.0000000	0.0000000	0.0133345	0.9990184	1.0000000	0.7099465
0.4842919	0.5163431	0.4995601	0.6422953	0.0108899	0.1898528	0.0128405	0.9160276	0.8264747	1.0000000
0.0669798	0.3473183	0.9016890	0.9387663	0.0476169	0.0000006	0.0130730	1.0000000	1.0000000	0.8877616
0.1441742	0.4893811	0.5159877	0.4066849	0.2023951	0.1003070	0.0418779	1.0000000	1.0000000	1.0000000
0.1194206	0.4484923	0.7191044	0.6400818	0.7320214	0.6136806	0.0140666	1.0000000	1.0000000	0.6873226
0.3819503	0.4915257	0.6651891	0.8486629	0.0059708	0.0000001	0.0148731	1.0000000	1.0000000	1.0000000
0.3277356	0.5104785	0.6438195	0.9896734	0.0000003	0.0000001	0.0308810	0.7570986	0.9929249	0.8618195
