YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000064	0.5559334	0.5970280	0.9447936	0.0389111	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.0311780	0.0000040	0.5970280	0.9447936	0.0389111	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.5252489	0.9999913	0.0000001	0.9448144	0.0388905	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.3634682	0.7585220	0.4250855	0.0000001	0.0389020	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.2165026	0.5519582	0.6010025	0.9866674	0.0000012	0.0134845	0.0418779	1.0000000	1.0000000	1.0000000
0.2189664	0.5559302	0.5970316	0.9448311	0.0388749	0.0000025	0.0418779	1.0000000	1.0000000	1.0000000
0.2189680	0.5559332	0.5970282	0.9447956	0.0389092	0.0134846	0.0000011	1.0000000	1.0000000	1.0000000
0.2428700	0.5907441	0.5643975	0.6589368	0.5429672	0.9999802	1.0000000	0.0000000	1.0000000	1.0000000
0.5177883	0.9878020	0.1469655	0.3873314	0.0388910	0.0134989	0.0418779	1.0000000	0.0000002	1.0000000
0.3634093	0.7585249	0.4250853	0.9448028	0.0389020	0.0134989	0.0418779	1.0000000	1.0000000	0.0000005
