YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.4399436	0.4015961	0.6694003	0.0227874	0.0115731	0.0375032	0.7503539	0.8403650	0.7369664
0.0233254	0.0000000	0.4689945	0.5762265	0.0454223	0.0120032	0.0405660	0.7532983	0.6507793	0.8213877
0.5500160	0.8607283	0.0000000	0.8388934	0.0338743	0.0024659	0.0496444	0.7483345	0.7627993	0.7649211
0.2747237	0.6822518	0.3742639	0.0000000	0.0297574	0.0120179	0.0436579	0.6986001	0.6469829	0.7704550
0.2020177	0.4077845	0.3623187	0.8099567	0.0000000	0.0344202	0.0575696	0.6240305	0.7136230	0.6982183
0.1674759	0.5297516	0.5152717	0.5983324	0.0205768	0.0000000	0.0514248	0.7822463	0.6771791	0.7698384
0.2112654	0.6251293	0.4272730	0.6613391	0.0398163	0.0123696	0.0013756	0.5639765	0.7748702	0.7684879
0.1898195	0.4590834	0.3839388	0.5225285	0.5205547	0.8184052	0.6824646	0.0000000	0.7274272	0.7832079
0.3427787	0.7637858	0.1166136	0.3435448	0.0308727	0.0073087	0.0283599	0.8476985	0.0000000	0.8613222
0.2089562	0.5310698	0.4209424	0.7161560	0.0509774	0.0085654	0.0214005	0.7339220	0.7072361	0.0000000
