YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000000	0.9060980	1.0021899	0.9411925	0.0528961	0.0705518	0.0848610	0.2962422	0.8180301	0.9713049
1.0727728	0.0000000	1.0544632	1.0306576	0.0350835	0.0569491	0.0455306	0.2813383	0.9447652	0.9954162
0.9755032	1.0514619	0.0000000	0.9402161	0.0555223	0.0599029	0.0734204	0.2582457	0.9874599	0.9316587
1.0283709	0.9476033	0.9545172	0.0000000	0.0723285	0.0609182	0.0594870	0.3363317	0.7967237	1.0108048
1.0065655	1.0145363	0.9572984	0.9920972	0.0000000	0.0599926	0.0721593	0.3145921	0.8852851	0.9312674
0.9704916	0.9714854	0.9272208	0.9320275	0.0464564	0.0000000	0.0521508	0.3069303	0.7940089	0.9632246
0.9425169	0.9099559	0.9734949	0.8773278	0.0437440	0.0533998	0.0000000	0.3170062	0.7881699	0.9362105
1.0941878	1.0173205	1.0680923	1.0435975	0.0359127	0.0513305	0.0221737	0.0000000	0.8910779	1.0319326
1.0192210	0.7191597	0.0461141	0.4062408	0.6435814	0.8939550	0.9072991	0.9893966	0.0000000	0.3469178
0.9551979	0.0719826	0.9731816	1.0437448	0.0513089	0.0377632	0.0549439	0.2745180	0.9910993	0.0000000
