"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9367575	0.9646738	0.9576955	0.0495011	0.1981841	0.0642635	0.3425365	0.4945266	0.9999411
100	1.0000000	0.9367575	0.9537565	0.9419693	0.0616488	0.2376686	0.1048971	0.5015414	0.3918840	0.9999098
150	1.0000000	0.9367501	0.9495793	0.8804345	0.1138048	0.2797160	0.2705688	0.6739866	0.3610818	0.9987816
200	1.0000000	0.9364949	0.9476117	0.7767325	0.2100963	0.4425567	0.5012992	0.7805526	0.3518193	0.9706363
250	1.0000000	0.9334310	0.9466758	0.6766450	0.3054596	0.6501180	0.6502350	0.8338555	0.3472349	0.8317869
300	1.0000000	0.9211669	0.9462024	0.6063099	0.3707174	0.7743818	0.7209277	0.8598382	0.3392276	0.6483278
350	1.0000000	0.8959286	0.9457999	0.5638583	0.4086227	0.8318853	0.7538603	0.8762994	0.3263664	0.5233217
400	1.0000000	0.8614599	0.9452697	0.5384565	0.4313577	0.8570250	0.7722514	0.8911993	0.3127850	0.4561461
450	1.0000000	0.8264958	0.9446195	0.5212730	0.4477473	0.8686786	0.7856225	0.9051778	0.3026857	0.4205148
500	1.0000000	0.7975846	0.9439917	0.5080510	0.4611777	0.8750227	0.7964134	0.9164298	0.2971705	0.3990869
550	1.0000000	0.7760365	0.9808975	0.5009032	0.4670283	0.8565011	0.7986585	0.8568565	0.5873447	0.3847035
600	1.0000000	0.7613761	0.9935939	0.5377604	0.4134768	0.8489720	0.7297404	0.6663797	0.6721727	0.3896775
650	1.0000000	0.7629295	0.9976365	0.6393044	0.2921193	0.8174429	0.5433488	0.5195877	0.7009752	0.4770200
700	1.0000000	0.8014920	0.9989087	0.7525275	0.1829418	0.7116531	0.3360953	0.4391840	0.7275105	0.6920042
750	1.0000000	0.8594657	0.9993334	0.8352834	0.1192355	0.5077716	0.2061963	0.3930075	0.7642910	0.8831396
800	1.0000000	0.9005797	0.9995043	0.8859135	0.0869543	0.3012580	0.1399736	0.3606945	0.7967340	0.9645132
850	1.0000000	0.9214618	0.9995883	0.9158664	0.0700625	0.1726378	0.1048630	0.3373674	0.8164460	0.9899150
900	1.0000000	0.9306594	0.9996323	0.9338457	0.0606132	0.1093395	0.0851767	0.3220933	0.8260570	0.9971212
950	1.0000000	0.9344231	0.9996548	0.9446546	0.0552038	0.0806081	0.0741330	0.3131203	0.8300894	0.9991250
1000	1.0000000	0.9358909	0.9996657	0.9510129	0.0521569	0.0676991	0.0681012	0.3083130	0.8315752	0.9996908

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	0.8134993	0.9488653	0.9996737	0.9623801	0.5914563	0.0560995	0.0532717	0.2420449	0.8319804	0.9999452
100	0.7391828	0.9519501	0.9996735	0.9714503	0.6849096	0.0534230	0.0408959	0.2187316	0.8315057	0.9999650
150	0.7095693	0.9527367	0.9996731	0.9786218	0.7004891	0.0504173	0.0350225	0.2100536	0.8310866	0.9999826
200	0.6977690	0.9529380	0.9996727	0.9826953	0.7028980	0.0486120	0.0327265	0.2068891	0.8308260	0.9999909
250	0.6930668	0.9529898	0.9996724	0.9847008	0.7031938	0.0477552	0.0318442	0.2057697	0.8306888	0.9999943
300	0.6911931	0.9530032	0.9996721	0.9856116	0.7031967	0.0473866	0.0315067	0.2053897	0.8306231	0.9999955
350	0.6904464	0.9530068	0.9996720	0.9860026	0.7031788	0.0472354	0.0313801	0.2052679	0.8305935	0.9999960
400	0.6901489	0.9530078	0.9996719	0.9861631	0.7031689	0.0471753	0.0313342	0.2052322	0.8305806	0.9999961
450	0.6900304	0.9530080	0.9996719	0.9862264	0.7031649	0.0471520	0.0313183	0.2052233	0.8305752	0.9999962
500	0.6899831	0.9530081	0.9996719	0.9862503	0.7031634	0.0471432	0.0313131	0.2052219	0.8305730	0.9999962
550	0.8764650	0.9409014	0.9996719	0.9840174	0.1527983	0.0472030	0.0348438	0.2672082	0.8307447	0.9999960
600	0.9507740	0.9378174	0.9996721	0.9769366	0.0603080	0.0479063	0.0442101	0.2905281	0.8312079	0.9999937
650	0.9803845	0.9370315	0.9996725	0.9694319	0.0474458	0.0496793	0.0527399	0.2992106	0.8316296	0.9999861
700	0.9921837	0.9368309	0.9996729	0.9641586	0.0471030	0.0519853	0.0578241	0.3023766	0.8318976	0.9999734
750	0.9968854	0.9367789	0.9996733	0.9611729	0.0479358	0.0539673	0.0602548	0.3034953	0.8320400	0.9999605
800	0.9987589	0.9367648	0.9996735	0.9596904	0.0484545	0.0552598	0.0612814	0.3038739	0.8321079	0.9999512
850	0.9995054	0.9367605	0.9996736	0.9590169	0.0486901	0.0559608	0.0616821	0.3039946	0.8321379	0.9999459
900	0.9998029	0.9367590	0.9996737	0.9587304	0.0487844	0.0562959	0.0618295	0.3040299	0.8321505	0.9999433
950	0.9999215	0.9367583	0.9996737	0.9586149	0.0488193	0.0564422	0.0618808	0.3040386	0.8321555	0.9999422
1000	0.9999687	0.9367580	0.9996737	0.9585705	0.0488315	0.0565018	0.0618975	0.3040400	0.8321575	0.9999417

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9444373	0.9996482	0.9583627	0.2748872	0.3701904	0.8153618	0.3121252	0.7394334	0.8983794
100	1.0000000	0.9365141	0.9995744	0.9558337	0.3157266	0.7069244	0.8482562	0.3368184	0.6951453	0.5561526
150	1.0000000	0.9031240	0.9994782	0.9488169	0.3260913	0.8218234	0.8518371	0.3696212	0.6437731	0.3934532
200	1.0000000	0.8509963	0.9993472	0.9364189	0.3334142	0.8561925	0.8558301	0.4123128	0.5953482	0.3401181
250	1.0000000	0.8018516	0.9991866	0.9171948	0.3434950	0.8667566	0.8623009	0.4612360	0.5666913	0.3220722
300	1.0000000	0.7683798	0.9990426	0.8913595	0.3573440	0.8711247	0.8711556	0.5032997	0.5572057	0.3125107
350	1.0000000	0.7482799	0.9989560	0.8636206	0.3724142	0.8741801	0.8801092	0.5293376	0.5581335	0.3040265
400	1.0000000	0.7352905	0.9989266	0.8405777	0.3846599	0.8767874	0.8866046	0.5401283	0.5622898	0.2961467
450	1.0000000	0.7256413	0.9989307	0.8258719	0.3919269	0.8787565	0.8899328	0.5414487	0.5664474	0.2900937
500	1.0000000	0.7182516	0.9989471	0.8190392	0.3947288	0.8799477	0.8908845	0.5385634	0.5699256	0.2864509
550	1.0000000	0.6886172	0.9990520	0.8186645	0.1916098	0.7994234	0.3410907	0.5143565	0.6628662	0.5040685
600	1.0000000	0.7837731	0.9992577	0.8318247	0.1427362	0.5842555	0.2756289	0.4579077	0.7319412	0.8128202
650	1.0000000	0.8681348	0.9994347	0.8598887	0.1120044	0.4024300	0.2052404	0.4007313	0.7834452	0.9354106
700	1.0000000	0.9087349	0.9995503	0.8918279	0.0868995	0.2615599	0.1432409	0.3583456	0.8110957	0.9786958
750	1.0000000	0.9257087	0.9996146	0.9180135	0.0697391	0.1622024	0.1037538	0.3322221	0.8239252	0.9933900
800	1.0000000	0.9325022	0.9996471	0.9357134	0.0596666	0.1057953	0.0825168	0.3177911	0.8293205	0.9979892
850	1.0000000	0.9351545	0.9996625	0.9463707	0.0542383	0.0785138	0.0718231	0.3103897	0.8313561	0.9993551
900	1.0000000	0.9361661	0.9996693	0.9523340	0.0514459	0.0662617	0.0665653	0.3068171	0.8320208	0.9997576
950	1.0000000	0.9365432	0.9996721	0.9555000	0.0500557	0.0608600	0.0640281	0.3051875	0.8321904	0.9998798
1000	1.0000000	0.9366810	0.9996732	0.9571088	0.0493854	0.0584634	0.0628357	0.3044849	0.8322088	0.9999192

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
