YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.8634820	0.1480811	0.7719600	0.8719642	0.0034533	0.1771168	0.0516391	0.0784191	0.6882603	0.0274024
0.7405736	0.7016151	0.6135692	0.5626862	0.1344351	0.4971676	0.2607683	0.4835368	0.4066458	0.5725458
0.7969695	0.7159827	0.7118040	0.7805669	0.0221348	0.1675698	0.0277145	0.1863078	0.5286342	0.5662493
0.7580681	0.6909493	0.7596854	0.6465179	0.2777933	0.0022836	0.0125075	0.1540687	0.5770324	0.7236380
0.7062963	0.6923942	0.7128437	0.6188544	0.2284492	0.3287047	0.1385981	0.2005537	0.6705285	0.5290431
0.6754461	0.6243790	0.7241060	0.5076814	0.3162872	0.1035392	0.1087495	0.2520366	0.5306567	0.5896596
0.6700999	0.6183535	0.6203876	0.5758705	0.0179118	0.1523484	0.0312887	0.2595862	0.5310658	0.7665446
0.6996364	0.6683468	0.8250508	0.8326045	0.0357983	0.0137735	0.0421756	0.2312327	0.6523562	0.5750725
0.5539624	0.7304850	0.6752093	0.6951728	0.0039341	0.1390783	0.0060162	0.2345557	0.5659662	0.6409991
0.6820818	0.6778442	0.6225479	0.5756531	0.1945220	0.2304129	0.2203212	0.2165954	0.6851253	0.5199426
