YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3536904	0.4504451	1.0028728	0.4519305	0.1315289	0.3366966	0.7852821	1.0280826	0.0199651	0.0926435
1.0052257	0.2233185	1.0056072	0.4313562	0.2165247	0.4163623	0.5729749	1.0294749	0.0255168	0.0878794
0.5306306	0.6448076	0.4767726	0.5085105	0.0579290	0.3176599	0.9126509	1.0259857	0.0193821	0.0917766
0.6773311	0.4001220	1.0314184	0.3372145	0.0502984	0.3587680	0.7552596	1.0498502	0.0154979	0.1039668
0.7427775	0.3757682	1.0184683	0.5697007	0.0590707	0.3140153	0.7779403	1.0276458	0.0115841	0.0685927
0.6314893	0.4417405	1.0739663	0.5585534	0.1016126	0.1483825	0.8515359	1.0134934	0.0149926	0.0865903
0.6592358	0.3444432	0.9538037	0.4646952	0.2504275	0.7591736	0.4062064	1.0038796	0.0118734	0.1219202
0.7128747	0.4184409	1.0551249	0.5456069	0.1989421	0.3691411	0.8454296	0.4773771	0.0238359	0.0869630
0.7551000	0.4257476	1.0134721	0.5149500	0.2538311	0.4141352	0.8324866	0.9161060	0.0148948	0.0786308
0.6898509	0.3702538	0.9919232	0.4627063	0.1537352	0.3311250	0.8122640	1.0408810	0.0199978	0.0422181
