YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.2756507	0.3245182	0.7030659	0.2691342	0.3658567	0.4655147	0.7600024	0.0000242	0.0395020	0.4657375
0.2149359	0.6611544	0.5566832	0.2518946	0.4956504	0.0501142	0.1225986	0.3596647	0.0000079	0.0978466
0.0897053	0.3247540	0.6044287	0.2791791	0.2349512	0.7929942	0.8903666	0.0133775	0.1349005	0.3610414
0.2118062	0.4678278	0.4139307	0.0369404	0.4686461	0.3491368	0.5165237	0.0010861	0.0641443	0.4638866
0.1147655	0.2504712	0.7202419	0.1962499	0.3786689	0.4166674	0.6879284	0.0573483	0.1997102	0.3979257
0.3734374	0.3694393	0.6780752	0.0569418	0.8437840	0.0140438	0.1545737	0.2702058	0.0134028	0.2252011
0.0835410	0.3551735	0.3564512	0.2118108	0.3654605	0.4518866	0.6330952	0.1002712	0.0296961	0.3939768
0.0156067	0.2676864	0.6597298	0.2257853	0.3448443	0.4187933	0.6703575	0.0026271	0.0356431	0.4639692
0.1408859	0.2461719	0.8599345	0.1017774	0.5266757	0.2633148	0.6285408	0.0772817	0.3112673	0.4045826
0.2884771	0.0612274	0.6222850	0.4100673	0.1988888	0.4496032	0.7010911	0.0017556	0.0676128	0.4159108
