YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0124062	0.2645148	0.9409034	0.3054324	0.5306457	0.5949233	1.0034384	0.0307587	0.1827236	0.5136796
0.0418649	0.1422278	1.0001801	0.2514056	0.5462614	0.5681215	1.0174819	0.0241966	0.2353187	0.5783576
0.0931545	0.3566510	0.4750988	0.2413930	0.5403723	0.6790997	0.9915967	0.0141578	0.1636359	0.5355183
0.0731271	0.3056614	0.9931562	0.1026746	0.5675313	0.6205794	1.0366567	0.0165494	0.1911905	0.5486534
0.0552053	0.2964928	0.7811389	0.6485128	0.2413495	0.6690692	1.0610543	0.0147182	0.1731457	0.4906213
0.0615650	0.2994284	1.0397461	0.2092252	0.7030069	0.3797564	1.0552526	0.0196802	0.1408036	0.6160866
0.0761172	0.3828358	0.9167551	0.2054159	0.8176424	0.2654575	0.5635482	0.0136688	0.1317058	0.3492820
0.0993231	0.3299262	0.9678651	0.2508877	0.5241347	0.6539278	1.0142762	0.0118754	0.1561174	0.5283940
0.0635484	0.3290594	0.9110902	0.3092424	0.5539374	0.6141800	0.9666887	0.0126610	0.0875528	0.5683552
0.0937079	0.4167540	0.9262553	0.3024187	0.5164369	0.6458228	0.9822192	0.0284335	0.1425831	0.2687982
