YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0000000	0.3233741	0.9512385	0.2412079	0.5051764	0.7182020	0.9557757	0.0270015	0.1994903	0.5890967
0.0332253	0.0000000	0.9455517	0.2965414	0.5547020	0.7011482	0.9488449	0.0292504	0.1803568	0.5487850
0.0766572	0.3497896	0.0000000	0.2913428	0.5990356	0.7138643	1.1089044	0.0228241	0.1435016	0.5651133
0.0693235	0.2610164	1.0882039	0.0000000	0.5910726	0.6883056	0.9640527	0.0456936	0.2399633	0.5988344
0.0670670	0.2764366	0.5409247	1.0116749	0.0000000	0.5995362	1.0585455	0.0209967	0.2370956	0.6522911
0.0654888	0.3524761	0.9887169	0.1608961	1.0155272	0.0000000	1.1026478	0.0184538	0.1784300	0.6179435
0.1109698	0.4912637	0.9960714	0.1751222	0.9077900	0.1215277	0.0000000	0.0316543	0.0910344	0.1041140
0.0851058	0.3064446	0.9281706	0.3002799	0.5670298	0.6147546	1.0306569	0.0000000	0.2231745	0.6061350
0.0659925	0.3128017	1.0012146	0.2771620	0.4806153	0.6571299	0.9451502	0.0322836	0.0000000	0.5420992
0.1132213	0.4284466	0.8440780	0.3457391	0.5274921	0.6406908	0.9636197	0.0074444	0.1446440	0.0000000
