"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0681917	0.3064867	0.9628776	0.2598601	0.3682639	0.7727523	0.9995358	0.0186895	0.1791194	0.5505757
100	0.0681786	0.3064838	0.9665684	0.2932475	0.2163351	0.8643394	0.9995341	0.0186915	0.1791193	0.5505750
150	0.0681734	0.3064827	0.9577322	0.4100226	0.1363447	0.8993690	0.9995333	0.0186922	0.1791190	0.5505744
200	0.0681713	0.3064818	0.9205540	0.5327309	0.1013681	0.9116188	0.9995329	0.0186925	0.1791187	0.5505740
250	0.0681704	0.3064807	0.8612486	0.6165629	0.0873532	0.9158223	0.9995327	0.0186926	0.1791185	0.5505738
300	0.0681699	0.3064798	0.8022766	0.6624921	0.0820131	0.9172586	0.9995326	0.0186927	0.1791184	0.5505736
350	0.0681695	0.3064790	0.7580318	0.6846840	0.0800430	0.9177489	0.9995325	0.0186927	0.1791184	0.5505736
400	0.0681692	0.3064786	0.7301869	0.6945981	0.0793321	0.9179162	0.9995325	0.0186927	0.1791183	0.5505735
450	0.0681690	0.3064783	0.7145830	0.6987982	0.0790796	0.9179733	0.9995325	0.0186927	0.1791183	0.5505735
500	0.0681689	0.3064782	0.7065208	0.7005104	0.0789909	0.9179928	0.9995325	0.0186927	0.1791183	0.5505735
550	0.0681688	0.3064780	0.6961911	0.7653437	0.1980823	0.7908847	0.9995325	0.0186927	0.1791183	0.5505735
600	0.0681688	0.3064777	0.6767915	0.7126119	0.3389138	0.6992971	0.9995325	0.0186927	0.1791183	0.5505735
650	0.0681687	0.3064780	0.6958314	0.5689715	0.4268661	0.6642671	0.9995325	0.0186927	0.1791183	0.5505735
700	0.0681687	0.3064791	0.7605816	0.4456194	0.4729753	0.6520171	0.9995325	0.0186927	0.1791183	0.5505735
750	0.0681690	0.3064804	0.8340650	0.3690008	0.4948888	0.6478135	0.9995325	0.0186927	0.1791183	0.5505735
800	0.0681693	0.3064813	0.8898264	0.3280053	0.5046299	0.6463771	0.9995325	0.0186927	0.1791183	0.5505735
850	0.0681696	0.3064820	0.9241547	0.3078249	0.5087542	0.6458868	0.9995325	0.0186927	0.1791183	0.5505735
900	0.0681699	0.3064823	0.9429485	0.2984095	0.5104372	0.6457195	0.9995325	0.0186927	0.1791183	0.5505735
950	0.0681700	0.3064825	0.9525420	0.2941834	0.5111045	0.6456624	0.9995325	0.0186927	0.1791183	0.5505735
1000	0.0681701	0.3064826	0.9572224	0.2923435	0.5113632	0.6456429	0.9995325	0.0186927	0.1791183	0.5505735

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0766562	0.3071703	0.9614504	0.2909611	0.5119487	0.6243249	0.7942728	0.1509756	0.1751876	0.5242068
100	0.0850850	0.3121883	0.9613656	0.2902812	0.5225129	0.4974326	0.4927359	0.3030188	0.1595897	0.4637771
150	0.0901926	0.3240616	0.9616480	0.2841126	0.5664532	0.3185634	0.2628330	0.3898424	0.1416888	0.3727125
200	0.0947869	0.3426495	0.9633939	0.2656739	0.6473624	0.1986829	0.1302404	0.4308370	0.1308850	0.2681551
250	0.1006735	0.3639431	0.9677448	0.2371875	0.7355580	0.1444117	0.0634414	0.4485206	0.1273508	0.1756320
300	0.1079193	0.3823723	0.9740438	0.2085080	0.8032855	0.1237592	0.0321950	0.4557609	0.1266674	0.1089285
350	0.1153287	0.3950240	0.9803638	0.1864634	0.8447467	0.1164243	0.0182331	0.4586278	0.1265778	0.0675204
400	0.1215766	0.4023104	0.9853454	0.1721751	0.8666526	0.1138843	0.0121833	0.4597371	0.1265687	0.0444139
450	0.1260448	0.4060132	0.9887048	0.1639025	0.8771368	0.1130125	0.0096186	0.4601591	0.1265679	0.0324587
500	0.1288461	0.4077428	0.9907511	0.1594814	0.8818193	0.1127141	0.0085491	0.4603175	0.1265678	0.0265971
550	0.1223540	0.4084306	0.9919139	0.1572580	0.8838079	0.1126178	0.0434396	0.3278054	0.1265678	0.0467697
600	0.1153338	0.4081041	0.9925421	0.1561932	0.8846032	0.1128418	0.1260021	0.1753605	0.1265681	0.0821613
650	0.1118190	0.4063824	0.9928680	0.1557101	0.8844532	0.1184007	0.3309415	0.0881017	0.1265730	0.1347591
700	0.1098293	0.4016778	0.9930298	0.1556305	0.8775407	0.1686151	0.5985613	0.0467277	0.1266635	0.2238971
750	0.1074775	0.3908095	0.9930867	0.1568476	0.8413508	0.2952326	0.7942399	0.0287878	0.1276964	0.3289454
800	0.1032982	0.3734142	0.9929709	0.1622862	0.7676311	0.4333887	0.9034755	0.0214177	0.1324872	0.4168752
850	0.0969991	0.3538067	0.9924157	0.1750111	0.6838585	0.5319874	0.9570199	0.0185422	0.1426249	0.4764884
900	0.0897008	0.3367223	0.9909993	0.1950419	0.6155429	0.5892168	0.9814304	0.0175620	0.1548438	0.5119924
950	0.0829031	0.3242831	0.9883346	0.2188146	0.5695729	0.6190002	0.9920623	0.0174101	0.1649975	0.5314085
1000	0.0775249	0.3163038	0.9843571	0.2415132	0.5421011	0.6335211	0.9965457	0.0176108	0.1716634	0.5414053

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0681917	0.3064867	0.9605970	0.1981519	0.5115180	0.6456388	0.9995358	0.0186895	0.1791194	0.5505757
100	0.0681786	0.3064841	0.9693463	0.1063022	0.5115173	0.6456361	0.9995341	0.0186915	0.1791193	0.5505750
150	0.0681735	0.3064837	0.9789469	0.0619595	0.5115179	0.6456346	0.9995333	0.0186922	0.1791190	0.5505744
200	0.0681716	0.3064838	0.9844692	0.0442787	0.5115187	0.6456337	0.9995329	0.0186925	0.1791187	0.5505740
250	0.0681709	0.3064839	0.9869835	0.0378398	0.5115192	0.6456333	0.9995327	0.0186926	0.1791185	0.5505738
300	0.0681708	0.3064841	0.9880138	0.0356163	0.5115196	0.6456330	0.9995326	0.0186927	0.1791184	0.5505736
350	0.0681707	0.3064841	0.9884142	0.0348747	0.5115198	0.6456329	0.9995325	0.0186927	0.1791184	0.5505736
400	0.0681707	0.3064842	0.9885653	0.0346335	0.5115199	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
450	0.0681707	0.3064842	0.9886214	0.0345564	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
500	0.0681708	0.3064842	0.9886419	0.0345321	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
550	0.0681708	0.3064842	0.9925478	0.1273418	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
600	0.0681707	0.3064839	0.9929953	0.2192223	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
650	0.0681707	0.3064835	0.9860028	0.2635760	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
700	0.0681706	0.3064832	0.9767720	0.2812605	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
750	0.0681705	0.3064829	0.9696073	0.2877006	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
800	0.0681704	0.3064828	0.9653053	0.2899245	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
850	0.0681703	0.3064827	0.9630832	0.2906661	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
900	0.0681703	0.3064827	0.9620414	0.2909074	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
950	0.0681703	0.3064827	0.9615843	0.2909845	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
1000	0.0681703	0.3064827	0.9613932	0.2910087	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.3301183	0.5086266	0.9612404	0.3031280	0.3716550	0.6456388	0.9995357	0.0187217	0.1890005	0.6031967
100	0.5970764	0.7015929	0.9549941	0.3911098	0.2270353	0.6456359	0.9995293	0.0194384	0.2246467	0.6607567
150	0.7394272	0.7873141	0.9227510	0.5494358	0.1536881	0.6456286	0.9994804	0.0222487	0.2548899	0.6920294
200	0.8049348	0.8168551	0.8502797	0.6995530	0.1229412	0.6455914	0.9992769	0.0270657	0.2703608	0.7061585
250	0.8327410	0.8252445	0.7595320	0.7994956	0.1111687	0.6454617	0.9987552	0.0321198	0.2772639	0.7120049
300	0.8437941	0.8270516	0.6817808	0.8539080	0.1069008	0.6451565	0.9978389	0.0360944	0.2802597	0.7142684
350	0.8479219	0.8271900	0.6288847	0.8801186	0.1054216	0.6446349	0.9966529	0.0387147	0.2814988	0.7150500
400	0.8493667	0.8270559	0.5977188	0.8917504	0.1049449	0.6439471	0.9954438	0.0402458	0.2819428	0.7152288
450	0.8498375	0.8269580	0.5810402	0.8965967	0.1048239	0.6432100	0.9944177	0.0410560	0.2820337	0.7151731
500	0.8499790	0.8269234	0.5727182	0.8984924	0.1048268	0.6425403	0.9936630	0.0414409	0.2819802	0.7150439
550	0.6657179	0.6269239	0.5696938	0.8687634	0.2451330	0.6420076	0.9931712	0.0414390	0.2730287	0.6621012
600	0.4168603	0.4350426	0.5891002	0.7111771	0.3902796	0.6416379	0.9930236	0.0387288	0.2355425	0.6042136
650	0.2397009	0.3483219	0.6602032	0.5303367	0.4639715	0.6415267	0.9937117	0.0325880	0.2038628	0.5727658
700	0.1429353	0.3176380	0.7607883	0.4085790	0.4948811	0.6418655	0.9951924	0.0267051	0.1885601	0.5586587
750	0.0979882	0.3086380	0.8469809	0.3434669	0.5066282	0.6426172	0.9967483	0.0228052	0.1823607	0.5530078
800	0.0792282	0.3065794	0.9026353	0.3126918	0.5107031	0.6435006	0.9979237	0.0206454	0.1800371	0.5510017
850	0.0720111	0.3063362	0.9332613	0.2992750	0.5118980	0.6442679	0.9986666	0.0195659	0.1792491	0.5504229
900	0.0694265	0.3064173	0.9485918	0.2938075	0.5120898	0.6448235	0.9990893	0.0190622	0.1790345	0.5503384
950	0.0685628	0.3064872	0.9558031	0.2917444	0.5119859	0.6451805	0.9993141	0.0188397	0.1790115	0.5503897
1000	0.0682931	0.3065123	0.9590358	0.2910550	0.5118358	0.6453916	0.9994283	0.0187466	0.1790381	0.5504558

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0682672	0.3118055	0.9568770	0.2909691	0.5115180	0.6456381	0.9994995	0.0304686	0.4237332	0.5505756
100	0.0703873	0.3414965	0.9523752	0.2910027	0.5115230	0.6452490	0.9905958	0.1117473	0.4746068	0.5504836
150	0.0773066	0.3696627	0.9502253	0.2909953	0.5120068	0.6314143	0.8796207	0.2019273	0.4783972	0.5469505
200	0.0863894	0.3853307	0.9493709	0.2904931	0.5181902	0.5565523	0.6617645	0.2567588	0.4757700	0.5257059
250	0.0942117	0.3950532	0.9492531	0.2867791	0.5441849	0.4177151	0.4676261	0.2798575	0.4677284	0.4774193
300	0.1002186	0.4048257	0.9502426	0.2747011	0.5998905	0.2857083	0.3436954	0.2811441	0.4578340	0.4122298
