YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.2932041	0.4185584	0.7926656	0.4901564	0.4903473	0.3776852	0.4458547	0.0035604	0.2254661	0.3289772
1.0393594	0.0627104	0.0752839	0.5502967	0.7574056	0.2976326	0.9450818	0.0030141	0.3598274	0.7523106
0.7856804	0.1694924	0.4878557	0.0121665	0.3748438	0.4770928	0.6209998	0.0369504	0.7067210	0.4375789
0.0470926	0.6763022	0.8580257	0.4558414	0.4935086	0.4539072	0.9587723	0.3532594	0.0746354	0.2815208
0.3381691	0.4967525	0.8087442	0.2927798	0.1162442	0.6863101	0.6943972	0.0051145	0.5713418	0.2002362
0.4641720	0.2828027	0.6056374	0.5475102	0.1038796	0.8034928	0.8522433	0.0660241	0.4492986	0.1420125
0.1880605	0.5035848	0.8184707	0.0010380	0.0551310	0.7121511	0.7740587	0.0277261	0.1800347	0.1872601
0.1222070	0.5572413	0.9535989	0.4106551	0.1197349	0.9510664	0.8387128	0.0088155	0.3103610	0.1212103
0.1155395	0.5081962	0.9872628	0.1689529	0.1220230	0.8370602	0.9020024	0.0426935	0.2123285	0.0905844
0.2604487	0.4010064	0.8190617	0.0134812	0.1549850	0.7327689	0.6836884	0.0273519	0.1512062	0.2234846
