YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.6764718	0.7585168	0.1124653	0.8579674	0.8173990	0.7935527	0.7649648	0.7717774	0.7020287
0.0299271	0.0000000	0.0638049	0.1464055	0.7181488	0.6195619	0.8433216	0.7393197	0.7313603	0.7477610
0.0326272	0.0472354	0.0000000	0.0796481	0.7859201	0.7063994	0.7048396	0.7537005	0.7237958	0.7518242
0.0220082	0.1124468	0.0568168	0.0000000	0.6642089	0.7619468	0.7758321	0.6652270	0.7047299	0.7617174
0.2371452	0.6851855	0.6000135	0.7488847	0.0000000	0.8175159	0.7832575	0.8039841	0.7399311	0.7489639
0.0531770	0.7637679	0.7085165	0.0845446	0.6756260	0.0000000	0.7042452	0.6552080	0.8348138	0.8132369
0.2539750	0.6726513	0.7403060	0.0724976	0.6778334	0.8028705	0.0000000	0.7081021	0.7540189	0.7548389
0.3249582	0.7175786	0.5848966	0.1163249	0.8008574	0.7437995	0.0274935	0.0000000	0.9261636	0.8041758
0.2253651	0.7422112	0.5793420	0.0979839	0.6780601	0.7316350	0.7798020	0.8768063	0.0000000	0.7402680
0.3275102	0.7628432	0.7587992	0.1372652	0.7637312	0.6850730	0.7945133	0.6946770	0.7010163	0.0000000
