YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.3565232	0.7862700	0.7424773	0.0804015	0.8107392	0.5939503	0.7835450	0.4579593	0.7917172	0.4780539
0.4756499	0.6346828	0.7696384	0.0758069	0.5123861	0.6598540	0.8347270	0.7181612	0.6852402	0.6761367
0.3163123	0.7561712	0.6202107	0.0244923	0.5997206	0.8047214	0.6570504	0.7701942	0.7064977	0.6672529
0.2407719	0.7287349	0.6825135	0.1202251	0.6972942	0.7036917	0.7099615	0.7311919	0.7342371	0.6431240
0.2894952	0.7617226	0.5274619	0.0529955	0.7572550	0.7568092	0.8783354	0.7489068	0.5322264	0.6792886
0.2822448	0.9118970	0.7473681	0.1454157	0.6612887	0.2461860	0.6463293	0.7836934	0.8034511	0.7652070
0.4004686	0.5821000	0.7767303	0.4174692	0.2811320	0.5059026	0.7928158	0.8259837	0.6725134	0.7324892
0.3707126	0.8083698	0.5875355	0.1010478	0.7374060	0.7371875	0.7870309	0.6618949	0.8541231	0.6048321
0.2831721	0.6517998	0.6300291	0.0788164	0.7120071	0.7142538	0.7236445	0.5889777	0.7696974	0.6050887
0.3257808	0.6845474	0.6985648	0.0781765	0.8209021	0.6053932	0.7599075	0.4675309	0.7063273	0.6577956
