YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.0473195	0.6541460	0.6226412	0.1936909	0.5043459	0.6955135	0.7639021	0.0615983	0.6447062
0.2567502	0.0000000	0.6454964	0.4400699	0.1693071	0.3734730	0.4435756	0.7941030	0.1086631	0.8100708
0.2587390	0.0694762	0.0000000	0.2831982	0.1881059	0.3380848	0.4656564	0.7185582	0.0612889	0.6462943
0.0505499	0.0201405	0.7483458	0.0000000	0.0849316	0.0834839	0.2141939	0.7183667	0.0712573	0.6055087
0.0294020	0.0348887	0.3825706	0.6788637	0.0000000	0.5606785	0.7488664	0.6314490	0.1122331	0.8516760
0.0289343	0.0240124	0.3526178	0.7057519	0.0112983	0.0000000	0.7373609	0.6590591	0.0688659	0.8163920
0.0208685	0.0337703	0.4594073	0.6904038	0.0337348	0.0543013	0.0000000	0.7533935	0.0971242	0.6983505
0.2553215	0.2270075	0.5806583	0.2723725	0.1148252	0.0620811	0.0833980	0.0000000	0.0661370	0.6506859
0.3587430	0.1705493	0.6891340	0.2234565	0.2763753	0.2674383	0.3481612	0.6866770	0.0000000	0.6232226
0.2632424	0.1319700	0.7138401	0.3294867	0.1573073	0.1131351	0.2099231	0.1974122	0.8822235	0.0000000
