YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.0548568	0.8517036	0.6512689	0.3029706	0.4990997	0.8334681	0.9632859	0.0993202	1.0312638
0.4467499	0.0000000	0.8921163	0.3842456	0.2737103	0.2747897	0.5126558	1.0241132	0.0947990	0.9635935
0.4011098	0.1152751	0.0000000	0.3640079	0.3581976	0.5042197	0.6187156	1.0041840	0.0683411	0.9477338
0.0361520	0.0600543	0.9815874	0.0000000	0.1199442	0.1731412	0.2903048	0.9367595	0.0682197	0.9201316
0.0150767	0.0307337	0.6532156	0.9991914	0.0000000	0.9229213	0.8948880	1.0050526	0.0939337	0.9769129
0.0530482	0.0307079	0.5780113	1.0156667	0.0247761	0.0000000	0.9038947	1.0193547	0.0778345	1.0176775
0.0403369	0.0626055	0.5133041	0.9836306	0.0207744	0.0573076	0.0000000	0.9684658	0.0882976	1.0070066
0.5113965	0.1610257	1.0679657	0.2342391	0.3517409	0.1752073	0.0775074	0.0000000	0.0866407	1.0137918
0.4772861	0.2246513	0.9690165	0.3469950	0.4156857	0.5212189	0.4511763	1.0288211	0.0000000	1.1529673
0.5057294	0.2136006	0.9238777	0.3066363	0.3690623	0.2153095	0.3486584	0.3496879	1.1316507	0.0000000
