YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.2106197	0.1727982	0.9314722	0.3253129	0.3739932	0.4266098	0.5056391	0.9850724	0.0823199	1.0000000
0.4212394	0.0863991	0.9314722	0.3253129	0.3739932	0.4266098	0.5056391	0.9850724	0.0823199	1.0000000
0.4212394	0.1727982	0.4657361	0.3253129	0.3739932	0.4266098	0.5056391	0.9850724	0.0823199	1.0000000
0.2849546	0.1029064	0.9625296	0.2492822	0.2537639	0.2356366	0.4082195	0.9850724	0.0823199	1.0000000
0.1930981	0.0716892	0.7257468	0.6711264	0.2750572	0.9255843	0.8566179	0.9850724	0.0823199	1.0000000
0.2136600	0.0783985	0.7473473	0.6322275	0.2905803	0.4590917	0.8428054	0.9850724	0.0823199	1.0000000
0.0784628	0.0423715	0.6139984	0.9060619	0.1662018	0.2846566	0.4487185	0.9850724	0.0823199	1.0000000
0.3499344	0.1328231	0.9173192	0.4075925	0.2797505	0.2317855	0.4404234	0.4925362	0.0823199	1.0000000
0.4220552	0.1733317	0.9315129	0.3244992	0.3755501	0.4310496	0.5074006	0.9960036	0.0411599	1.0000000
0.4197482	0.1718181	0.9314728	0.3268036	0.3704611	0.4149697	0.5002495	0.9541108	0.1503973	0.5000000
