YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.9652116	0.4316105	0.3270962	0.7618880	0.3203412	0.7278857	0.4732420	0.0403390	0.2902356	0.4212151
0.9630037	0.4364587	0.3196240	0.6221995	0.5992217	0.5338655	0.6694924	0.4706916	0.5666410	0.6053433
0.9630839	0.4248477	0.3434278	0.7435851	0.7251785	0.4102914	0.7905432	0.0307262	0.3063043	0.7077681
0.9474444	0.3635394	0.5215712	0.3143570	0.4726341	0.5300455	0.9651138	0.0741171	0.5240801	0.6084890
0.9335673	0.4202644	0.3897688	0.6953359	0.2131641	0.8471647	0.4664790	0.1506998	0.2835235	0.4298576
0.9171980	0.3781814	0.5268498	0.3674923	0.3157581	0.7143325	0.4341817	0.2922124	0.6644500	0.1705268
0.9443103	0.4603398	0.1989810	0.7872104	0.4375272	0.6611231	0.7411497	0.0814484	0.3060622	0.5206608
0.8722182	0.3115125	0.2572387	0.8554478	0.2536145	0.7370086	0.5175318	0.0011309	0.2167687	0.4791904
0.9235262	0.3420338	0.4964047	0.6030038	0.9086448	0.3314287	0.8668856	0.0017142	0.2364100	0.7814412
0.7821314	0.2464376	0.6534617	0.4884905	0.4178273	0.6327181	0.7861889	0.3400089	0.4028276	0.5375687
