"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C

0	0.7969358	0.5431930	0.2957846	0.1304042	0.1299151	0.0434753	0.5764896	0.6169175	0.3377094	0.7329295
50	0.6639554	0.6130954	0.3385208	0.1143259	0.1211885	0.0698299	0.7043870	0.5909190	0.2790967	0.5792299
100	0.6627330	0.6225149	0.2612448	0.1219341	0.1557239	0.0618538	0.5039117	0.6763396	0.3241448	0.3843323
150	0.7264315	0.5732208	0.2600020	0.1328255	0.1203086	0.0889664	0.7223817	0.5434159	0.3052982	0.3302492
200	0.6491014	0.5515183	0.3081966	0.2036546	0.1918950	0.0703771	0.5912873	0.5339910	0.3997848	0.2529967
250	0.7826518	0.5963131	0.3169328	0.2007802	0.1446474	0.0407936	0.5777757	0.4281461	0.4556633	0.2525865
300	0.6205587	0.5893981	0.3983463	0.1819013	0.1027322	0.0959467	0.5896773	0.3493953	0.4100801	0.2703182
350	0.7392386	0.6572638	0.4413159	0.1450641	0.1293514	0.0698748	0.5228334	0.2516576	0.4883449	0.2155541
400	0.7478616	0.6821364	0.3580505	0.1556347	0.1658576	0.0558496	0.4661882	0.1563723	0.5499827	0.3280160
450	0.6396962	0.6394526	0.4582919	0.2196253	0.1385742	0.1049797	0.5371599	0.1614027	0.6784171	0.2190497
500	0.6707813	0.6459881	0.4187815	0.2195420	0.0995283	0.0693171	0.6369071	0.1977442	0.5839656	0.2218303
550	0.6663968	0.5947334	0.3720402	0.1420738	0.2114033	0.1130312	0.6351548	0.1224474	0.6531875	0.3980970
600	0.7159766	0.7298805	0.3941497	0.1957790	0.2296174	0.0694411	0.5791666	0.1251609	0.5276614	0.6679849
650	0.6847051	0.6123570	0.2560181	0.3024682	0.1285668	0.0710319	0.5509493	0.1564624	0.4113371	0.5868442
700	0.7260974	0.6406234	0.3549865	0.2404943	0.1713189	0.0990986	0.5618672	0.3831860	0.2983301	0.5779601
750	0.6416692	0.6594526	0.3986717	0.2316689	0.1561630	0.0988038	0.5035255	0.4077454	0.3145246	0.7391236
800	0.7706822	0.6176980	0.4048472	0.1406371	0.2619130	0.1262740	0.3849956	0.5168883	0.1818375	0.5987685
850	0.7434606	0.7007523	0.3722569	0.2906439	0.1728791	0.1041729	0.5258039	0.5878650	0.3139590	0.6343842
900	0.5380020	0.5560921	0.4434019	0.2636938	0.1757439	0.0549965	0.4346593	0.5534528	0.2944433	0.7083723
950	0.6572418	0.5847935	0.3452313	0.2865090	0.1322476	0.1179287	0.4663018	0.6009284	0.3495769	0.6863290
1000	0.7845968	0.7165875	0.4715987	0.2652120	0.1784013	0.0759930	0.4967669	0.6184413	0.2529114	0.6631276

0	0.9069547	0.5185362	0.2944297	0.1376533	0.1498674	0.0645159	0.5888259	0.6026997	0.2830933	0.6374701
50	0.7013408	0.6141006	0.2606078	0.1597359	0.1210619	0.0431215	0.4865930	0.3979153	0.2766009	0.4876230
100	0.6494079	0.5362660	0.3851360	0.1503846	0.0966314	0.0795664	0.5703256	0.2193067	0.3491605	0.6104423
150	0.7527590	0.4765532	0.4691743	0.1154889	0.1086895	0.0781234	0.5515451	0.1465653	0.3586900	0.4451662
200	0.6998777	0.5931477	0.2711365	0.1275248	0.1595934	0.0489408	0.6446219	0.1127764	0.3558875	0.4742616
250	0.7555219	0.7858937	0.3969993	0.1943001	0.1539949	0.0848448	0.6631706	0.0453410	0.3332997	0.4663488
300	0.6638237	0.7267435	0.3473862	0.1848898	0.1011552	0.0566762	0.7571097	0.0800285	0.2937480	0.5362090
350	0.9059503	0.7221406	0.4217908	0.1439733	0.1097294	0.0541037	0.6685442	0.0900114	0.3292574	0.4497425
400	0.8028025	0.7135722	0.3670609	0.0955962	0.0865484	0.0375839	0.6479507	0.0605029	0.4569578	0.4987174
450	0.8716862	0.7623858	0.3455478	0.1012167	0.0650723	0.0409530	0.6760990	0.0780955	0.3805990	0.4556308
500	0.8383613	0.6862419	0.2610324	0.0795971	0.1236814	0.0960487	0.6776527	0.0811654	0.4043827	0.4084867
550	0.8171984	0.7179354	0.2102339	0.1048842	0.0571305	0.0291492	0.6666335	0.2189068	0.3202356	0.4723031
600	0.7139678	0.5312053	0.1707377	0.0837097	0.0930984	0.0492527	0.6284257	0.2985660	0.2611676	0.5723620
650	0.8102064	0.5291537	0.2328711	0.0631830	0.1105813	0.0514354	0.6419833	0.3924944	0.2912640	0.6032574
700	0.6019915	0.4866307	0.1919857	0.1044541	0.1562682	0.0709189	0.6670277	0.4739827	0.2923359	0.6380982
750	0.6423711	0.4071959	0.1867811	0.1288211	0.0948445	0.0543974	0.6633606	0.5515702	0.2788442	0.8096853
800	0.8601118	0.5522437	0.3046162	0.1213146	0.1246911	0.0512764	0.6232308	0.5994289	0.2644113	0.6481710
850	0.6824353	0.6086253	0.3128547	0.1750732	0.1324371	0.0523610	0.5819492	0.5735832	0.2710719	0.7150207
900	0.5813634	0.5549154	0.2340505	0.1234525	0.1901359	0.1010753	0.5990599	0.5405544	0.2891422	0.7073865
950	0.6760878	0.5588709	0.3205324	0.1780376	0.1321508	0.0314920	0.6772857	0.6729307	0.2217091	0.7330335
1000	0.6743739	0.5442165	0.2944061	0.1593249	0.0854728	0.0568522	0.4864104	0.5558751	0.2390033	0.8121929

0	0.7328140	0.5431859	0.2657784	0.1664008	0.1369290	0.0463639	0.5579824	0.7100115	0.3700857	0.7153882
50	0.6657014	0.6262125	0.2569000	0.1191513	0.0965411	0.0706971	0.5199153	0.6587926	0.2774329	0.5340070
100	0.7344374	0.6241901	0.2476701	0.0922254	0.0840326	0.0718554	0.5359993	0.6098416	0.3042309	0.4830305
150	0.6334610	0.5381698	0.3016748	0.1277380	0.1223617	0.0498552	0.5956785	0.5307059	0.3976977	0.4348272
200	0.5600034	0.6524289	0.2754546	0.1246848	0.1017752	0.0748103	0.5309146	0.5255644	0.4456780	0.3276653
250	0.8311032	0.6316552	0.3289088	0.1158924	0.1033528	0.0588407	0.5918907	0.3855417	0.4697231	0.3429031
300	0.8444573	0.7355447	0.2360257	0.1684060	0.0435036	0.0628223	0.6653004	0.2616044	0.4273476	0.2544643
350	0.5713560	0.4761931	0.3472374	0.0893189	0.0963660	0.0684469	0.6490662	0.2634428	0.4845240	0.3203629
400	0.7615324	0.6262296	0.2780132	0.0908615	0.1185483	0.0552574	0.4912117	0.1882399	0.5703602	0.2763331
450	0.7581146	0.5979457	0.2980883	0.0605528	0.0535017	0.0364617	0.6145059	0.2591267	0.4665372	0.2142939
500	0.6275983	0.5997817	0.2481078	0.0889559	0.0608592	0.0563120	0.6284814	0.2651338	0.4958683	0.3388289
550	0.6957406	0.5208517	0.2575146	0.0762683	0.1198684	0.0710543	0.6421918	0.2363458	0.5124893	0.4796313
600	0.6654840	0.4600530	0.1796140	0.0818466	0.1238272	0.1165971	0.5917594	0.2470318	0.3320917	0.5585145
650	0.6410112	0.5999732	0.2273084	0.1723058	0.1457182	0.0564193	0.6053572	0.1918304	0.4300487	0.6791737
700	0.6530896	0.5879325	0.2573168	0.1953134	0.1175254	0.0923916	0.6501104	0.2436184	0.3514763	0.7874350
750	0.7222589	0.5784485	0.3386481	0.1344606	0.0870464	0.1082538	0.5247773	0.5501481	0.2651068	0.7825756
800	0.6091177	0.6034967	0.3029849	0.1925897	0.1581597	0.1179891	0.6066103	0.4291600	0.2766957	0.7701718
850	0.5767654	0.6889851	0.2615023	0.1802675	0.1435226	0.0436171	0.6546483	0.5415986	0.2107806	0.7653962
900	0.7083281	0.4867274	0.3296065	0.1724663	0.1092028	0.1035618	0.4616779	0.4875173	0.2629605	0.6498167
950	0.7878600	0.6172751	0.4088829	0.2453287	0.1728634	0.0415407	0.6026369	0.5327798	0.2675386	0.5724999
1000	0.6969531	0.6168120	0.4041802	0.2907539	0.1338954	0.0900282	0.5089728	0.6017859	0.2593495	0.6899050

0	0.7310775	0.5904409	0.2163148	0.1137840	0.1022591	0.0536951	0.6132061	0.6422872	0.3567371	0.7224454
50	0.6744088	0.5897982	0.3408261	0.1191043	0.0905497	0.0575870	0.5783214	0.5276515	0.2155883	0.7165397
100	0.7114189	0.5238207	0.4468772	0.1151829	0.0988449	0.0571854	0.6488417	0.6476523	0.2580308	0.6734079
150	0.7867404	0.5499567	0.3043050	0.0739288	0.0799178	0.0591396	0.6480739	0.5185406	0.3153932	0.6003547
200	0.7613721	0.5419133	0.3302997	0.1090432	0.0678651	0.0708210	0.6746233	0.5235586	0.2765854	0.6303309
250	0.6788372	0.4385263	0.2845017	0.1350585	0.1419982	0.0627643	0.6519862	0.5456858	0.3055693	0.6642105
300	0.7239213	0.6287642	0.2457998	0.1133403	0.2008756	0.0654618	0.4736056	0.5839235	0.2832375	0.7106934
350	0.6654297	0.5973254	0.2905268	0.1278599	0.1547576	0.0361884	0.6934889	0.5441403	0.3078978	0.8693616
400	0.7823647	0.5357511	0.3990005	0.1678259	0.1428805	0.1171166	0.5344933	0.4841740	0.3414210	0.7040069
450	0.6377060	0.5642904	0.3512855	0.2267004	0.1978688	0.0871076	0.6178605	0.5937451	0.2680047	0.7411566
500	0.7475256	0.6986710	0.3733026	0.1845986	0.1401389	0.1170024	0.6463924	0.6178547	0.2384368	0.6526438
550	0.6516534	0.6056848	0.5060818	0.1578748	0.1250351	0.1066362	0.5901797	0.6682300	0.2401946	0.7034797
600	0.7040891	0.6943289	0.3637706	0.2043786	0.1764201	0.0973896	0.6365667	0.7353884	0.2299522	0.6710976
650	0.7751346	0.6324326	0.4316495	0.1834575	0.1409681	0.0827896	0.5717128	0.5029250	0.2977004	0.7566207
700	0.8273156	0.6863211	0.4598422	0.1391557	0.0802870	0.0939771	0.4768789	0.5066182	0.2007781	0.5867858
750	0.6857575	0.6963788	0.4042229	0.2564150	0.1716248	0.0798530	0.5601344	0.5943071	0.2968184	0.8022415
800	0.7371370	0.7882829	0.4564852	0.1321552	0.2096945	0.0758093	0.5131729	0.6460967	0.2089610	0.7664525
850	0.7531780	0.6030130	0.4358077	0.1309452	0.1163406	0.0511255	0.6148444	0.6949808	0.3008666	0.6382972
900	0.7176166	0.6368415	0.3779655	0.0998404	0.0974431	0.0653928	0.6270240	0.5530996	0.3064414	0.8433730
950	0.7032664	0.5674582	0.2401953	0.0940626	0.0715921	0.0577564	0.6671344	0.6840467	0.2832029	0.6706469
1000	0.7997283	0.6316618	0.3304382	0.0933660	0.0910162	0.0504991	0.6279384	0.5821646	0.3349737	0.7345253

0	0.7963530	0.5238445	0.2822927	0.2154481	0.1313979	0.0472796	0.5232238	0.5851688	0.2766644	0.7925699
50	0.7513529	0.6713691	0.2495398	0.1480459	0.2463681	0.0665031	0.6157028	0.5802772	0.3330853	0.5747904
100	0.6550150	0.6004440	0.3557686	0.2795286	0.3516341	0.0798667	0.6548674	0.5104667	0.3222437	0.2294600
150	0.6485024	0.6642255	0.3403634	0.4783500	0.4387872	0.0556339	0.4785277	0.4482770	0.3843449	0.1549410
200	0.7259769	0.5242110	0.5074408	0.4813214	0.5631795	0.1000241	0.4354150	0.2882181	0.5143013	0.1162051
250	0.7950075	0.6670479	0.4587803	0.5498041	0.5474599	0.2305010	0.3035874	0.2205225	0.5699838	0.0718295
300	0.7858628	0.6695457	0.5628292	0.6478907	0.5124607	0.2354955	0.0696206	0.2068396	0.5469908	0.0808124
350	0.6453746	0.6271928	0.4903816	0.5867542	0.6479888	0.4766065	0.0736687	0.1215559	0.5880628	0.1515449
400	0.6578869	0.7082133	0.6257607	0.5884710	0.7568340	0.5460135	0.0557219	0.0509080	0.7848524	0.0849733
450	0.6474707	0.6888944	0.5831971	0.5578699	0.7140487	0.5317891	0.0778225	0.0326291	0.7868259	0.0746518
500	0.6985068	0.6719425	0.5539491	0.7266958	0.8096627	0.6680914	0.0495650	0.0308434	0.6755957	0.0828210
550	0.8191859	0.6844218	0.6427090	0.6097492	0.6491096	0.7343982	0.1285611	0.0347520	0.6823607	0.4262326
600	0.6625544	0.6631291	0.6186669	0.7097759	0.7041904	0.3920857	0.2785652	0.0832844	0.4555347	0.6247032
650	0.7046822	0.7229688	0.5345982	0.6000674	0.6509203	0.3233604	0.2397736	0.2349809	0.3696297	0.6913167
700	0.5866321	0.6650603	0.4950018	0.6438274	0.7929520	0.1799849	0.3772362	0.3504223	0.3154691	0.6757335
750	0.6365683	0.7433219	0.5566237	0.6364002	0.5055562	0.1292526	0.4082164	0.5089594	0.2161458	0.6923802
