YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.4075972	0.5242652	0.7843661	0.4456476	0.4166256	0.2142778	0.0867629	0.9786493	0.5470421	0.9853097
0.3280120	0.5319533	0.7418108	0.3887120	0.7154783	0.3346493	0.1302134	0.9645005	0.7225807	1.0690752
0.5366895	0.4785153	0.7522777	0.5174176	0.7224636	0.0509252	0.0076668	0.9977112	0.9162076	1.0443696
0.6414499	0.4772920	0.7255599	0.4065003	0.7664153	0.1906934	0.1137313	0.4244199	0.8503882	0.7743119
0.3758246	0.5302924	0.8361843	0.5079092	0.8437853	0.0422683	0.0527104	0.7694412	0.8847878	1.0047015
0.8496913	0.4789584	0.7045835	0.4586683	0.3576210	0.2669502	0.1121888	0.9065922	0.9706863	1.1275045
0.6506228	0.4774345	0.7587378	0.5922205	0.7334370	0.1182122	0.1124172	0.7560788	0.8533722	0.8418481
0.2532838	0.5444406	0.7083287	0.6663176	0.8236107	0.0946787	0.0826418	0.8931852	0.9710958	0.7385301
0.6313043	0.4885722	0.7388816	0.4598821	0.4039057	0.1175833	0.1102634	0.9203806	0.8799195	0.8070206
0.2667460	0.5925715	0.7520518	0.6706194	0.4575132	0.3705294	0.1435604	0.6445836	1.0321414	0.9723895
