YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.0558108	0.3390882	0.6172127	0.8217194	0.0155977	0.7921087	0.7244080	0.5955802	0.5059654
0.1148695	0.0000000	0.2218428	0.6346130	0.7270807	0.0140362	0.6396338	0.8159506	0.4631383	0.5144180
0.1083301	0.0490184	0.0000000	0.5755458	0.7347124	0.0160669	0.5517457	0.5521265	0.3046172	0.6429214
0.0898572	0.0255506	0.9742924	0.0000000	0.7362590	0.0160059	0.7195044	0.7072173	0.5409355	0.5000144
0.0904917	0.0364772	0.1913897	0.7181223	0.0000000	0.0171018	0.7423964	0.6956716	0.5356221	0.6248116
0.1384707	0.0645945	0.3398900	0.5792946	0.7463023	0.0000000	0.8659428	0.8622810	0.5619516	0.4412614
0.0857183	0.0553053	0.2923411	0.6684112	0.7454989	0.8021751	0.0000000	0.6219793	0.6487511	0.5295189
0.1201605	0.0471386	0.4096840	0.6343873	0.7535723	0.7002349	0.0076551	0.0000000	0.5580558	0.4490286
0.1136739	0.0645762	0.3152149	0.7111582	0.8028590	0.7785126	0.0060445	0.0316390	0.0000000	0.8508459
0.1807227	0.0843584	0.6622768	0.1376272	0.8389509	0.0152992	0.6398841	0.6008671	0.4627023	0.0000000
