"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4475772	0.7137548	0.0077996	0.8904945	0.0896612	0.1598920	1.0345855	0.8950866	0.7585452	0.3156441
100	0.3645617	0.5360450	0.0140829	0.8974102	0.0956670	0.1018942	0.9262729	0.9348394	0.8061044	0.2682409
150	0.3472753	0.5990840	0.0144810	0.9545416	0.0797851	0.0687058	0.9276782	0.8705759	0.7257994	0.2587272
200	0.3383726	0.6138848	0.0116504	0.9538714	0.0819266	0.0617866	1.0569679	0.9319179	0.7946285	0.2198449
250	0.3586078	0.6035617	0.0101436	1.0050843	0.0906271	0.0321955	1.0771557	1.0186479	0.7006059	0.2467036
300	0.3568762	0.5623858	0.0029347	1.0334364	0.0650132	0.0228237	1.0091570	0.9961268	0.7701782	0.2316825
350	0.3676863	0.5239940	0.0017368	1.1616991	0.0829905	0.0252739	1.0260561	1.0338908	0.8706772	0.1870645
400	0.2869500	0.5655670	0.0067715	1.0017253	0.0883190	0.0416733	1.0225093	1.0298950	0.8499551	0.1694993
450	0.2957766	0.5745008	0.0007121	1.0201234	0.0770414	0.0292237	0.9740207	1.0739094	0.9339308	0.1438373
500	0.2930303	0.4534304	0.0000000	0.9958161	0.0747188	0.0342722	0.9665120	1.0171083	0.9091548	0.1959149
550	0.2910860	0.5254574	0.0279998	1.0163154	0.0498071	0.1201280	0.9989092	1.0276090	0.7561335	0.1391365
600	0.3416745	0.6766595	0.0418924	0.9509448	0.0580480	0.2613249	1.0279884	0.9071877	0.8364390	0.2156433
650	0.3496627	0.5492066	0.0230575	0.9605202	0.0656825	0.2399031	0.9987524	0.8846572	0.7081568	0.2348361
700	0.3855428	0.7435066	0.0106402	0.9376580	0.0989899	0.2861294	1.0863692	0.8125479	0.7454239	0.3095117
750	0.4485694	0.7467878	0.0444934	0.9717287	0.1117343	0.2453172	1.0076945	0.9636229	0.7786184	0.2932982
800	0.4555861	0.7389582	0.0327460	0.9591982	0.1001473	0.2465599	1.0595379	0.9692931	0.7830352	0.2574456
850	0.4900314	0.7468736	0.0487778	0.9395900	0.0906339	0.2880467	0.9718414	0.8623802	0.7541070	0.2511054
900	0.4122674	0.7406639	0.0543225	1.0174091	0.1161689	0.3122213	0.8619805	0.9072472	0.7146238	0.2833375
950	0.4814033	0.7837537	0.0607967	0.9948167	0.0916768	0.3466046	0.9368844	0.8947855	0.7567466	0.2748383
1000	0.5289005	0.7484981	0.0476144	0.8852083	0.0942012	0.3220715	0.9463244	0.9431048	0.8227385	0.2578763

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4626272	0.4123352	0.0271878	0.9445712	0.0449717	0.2786397	1.0162874	0.8782279	0.9332028	0.1757615
100	0.3659438	0.2209108	0.0087313	0.9803524	0.0878481	0.3344281	0.9896598	0.9164253	0.8903969	0.1091010
150	0.2510798	0.1221683	0.0093775	0.8284014	0.0942679	0.3569546	0.9667073	0.9561798	0.9682386	0.1082557
200	0.1335490	0.1044553	0.0018838	0.8437163	0.0924761	0.3605816	0.9411494	0.9231877	0.9193852	0.1142753
250	0.0822208	0.0762677	0.0036603	0.8659119	0.0838867	0.3441936	1.0053860	0.8162018	0.9313604	0.1205972
300	0.0608632	0.0995872	0.0012010	0.8681934	0.1285365	0.3320905	1.0841396	0.8331839	0.9081100	0.1233960
350	0.0487129	0.0684811	0.0011952	0.8448179	0.1115091	0.2982561	1.0163714	0.9230029	0.9277414	0.1357552
400	0.0774417	0.0512439	0.0003009	0.9367627	0.0789158	0.3077606	0.9729339	0.9415950	0.9294167	0.1253148
450	0.0533045	0.0541334	0.0042950	0.9043516	0.1051223	0.3033419	1.0418281	0.9873572	0.9001724	0.1341012
500	0.0590340	0.0875645	0.0023622	0.8701120	0.1251726	0.3250918	0.9962823	0.9037713	0.8860371	0.1206024
550	0.0586105	0.2842593	0.0272684	0.8856560	0.1031607	0.3014450	0.9487841	0.9158066	0.9033533	0.1446352
600	0.1183260	0.4218489	0.0261010	0.8288729	0.0886057	0.2983317	0.9538298	0.9842509	0.8995382	0.2240622
650	0.1739403	0.4565244	0.0378218	0.8362249	0.0805436	0.3102969	0.9703066	0.9316536	0.9133025	0.1327205
700	0.2351274	0.6191959	0.0314675	0.8537832	0.0581141	0.3320236	0.9506941	0.8881267	0.8424139	0.1270784
750	0.2744408	0.6495565	0.0467687	0.8949995	0.0895273	0.3255170	0.9842631	0.8779907	0.8040731	0.1547093
800	0.3414678	0.7218140	0.0701740	0.9089318	0.0937275	0.2349227	0.9329442	0.7585148	0.8015165	0.1767209
850	0.4179685	0.7536583	0.0664285	0.8680724	0.1005316	0.3531481	0.9269843	0.7918886	0.7951417	0.1707380
900	0.4163383	0.6935966	0.0463980	0.8906719	0.1014097	0.3559815	0.9710961	0.8547174	0.8180986	0.2412160
950	0.4548343	0.6693417	0.0513657	0.9287336	0.0723357	0.3154150	1.0013472	0.8339301	0.8565269	0.2174025
1000	0.3891607	0.6527663	0.0537053	0.8103247	0.0870369	0.3093468	0.9839960	0.9611296	0.8582975	0.1753981

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.5096720	0.7747951	0.0520330	1.0064014	0.4084420	0.3551721	1.0872870	0.8968432	0.6897838	0.3112822
100	0.6055549	0.8732843	0.0260583	0.8406099	0.5413057	0.2789753	1.0444206	0.8063355	0.7367657	0.3178856
150	0.6995264	0.7362883	0.0342894	0.9359150	0.7118465	0.2512058	0.9224831	0.8339073	0.8098602	0.2934913
200	0.8248905	0.6921683	0.0505812	0.8777580	0.7401740	0.3080315	0.9866956	0.8467499	0.8432360	0.2677757
250	0.8360988	0.6944073	0.0546921	0.8945752	0.7407011	0.3366141	0.9472000	0.8204409	0.9050041	0.2116271
300	0.8795442	0.7046522	0.0485789	0.8455347	0.6640048	0.3341504	0.9356563	0.9788151	0.9117974	0.1461697
350	0.7832055	0.6852937	0.0299915	0.9197960	0.7793886	0.2886843	1.0420419	0.8869546	0.9821874	0.1133676
400	0.8188442	0.6212655	0.0270314	0.8609322	0.8208693	0.2806066	1.1023785	0.9657619	1.0212438	0.0713184
450	0.9183386	0.5641083	0.0284933	1.0138236	0.8468870	0.2152702	1.0792274	1.0812203	1.0169314	0.0864020
500	0.8711509	0.6171562	0.0276959	0.9708542	0.7316759	0.2866382	1.0175753	1.0272714	1.0088128	0.0791340
550	0.7125291	0.6110074	0.0424594	0.8874102	0.4162504	0.3059532	1.0337086	0.9641063	0.9980965	0.1005051
600	0.5044070	0.5657664	0.0507425	0.8983675	0.2482921	0.2927195	1.0684004	0.9832108	0.9650355	0.1138263
650	0.4183851	0.5345622	0.0356294	0.9055128	0.1314563	0.2748047	1.0078569	0.9008779	0.9583698	0.1236613
700	0.3513679	0.5296963	0.0256267	0.8295694	0.1078789	0.3055650	1.0243660	0.9018524	0.8873525	0.1420144
750	0.3361378	0.5701158	0.0297448	0.8562716	0.1209406	0.2907130	0.9774185	0.8808266	0.8940669	0.1480405
800	0.2818367	0.5396526	0.0349888	0.8965318	0.0787069	0.3224336	0.9371719	0.9200748	0.9068021	0.1868388
850	0.3114047	0.6409355	0.0407924	0.8755621	0.0610298	0.2489872	0.8439845	0.8307796	0.8452114	0.1757253
900	0.3192208	0.6386254	0.0146937	0.8903003	0.0735025	0.3206806	1.0210934	0.9097040	0.9021735	0.1801154
950	0.3685346	0.6297008	0.0290095	0.8468446	0.1127833	0.3373897	1.0465679	0.9490914	0.9066194	0.1694911
1000	0.3022723	0.5409027	0.0316161	0.7403425	0.1016690	0.3134838	1.0293843	0.9458765	0.8368143	0.1479124

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4439423	0.6935299	0.0166611	0.7196563	0.1336556	0.3407663	0.8720246	0.8098175	0.8024924	0.2452061
100	0.4203470	0.7464570	0.0147357	0.3656538	0.1425495	0.3783143	0.9321047	0.8581874	0.7987313	0.2689368
150	0.4227295	0.7431739	0.0118061	0.1830818	0.2015737	0.4316170	0.9366022	0.9304223	0.8438203	0.3037379
200	0.4287147	0.6874233	0.0134969	0.1145946	0.2203122	0.5872546	0.9898852	0.9129004	0.8322937	0.2094998
250	0.3342072	0.6419390	0.0131831	0.0594369	0.3591588	0.7897284	1.0658334	0.9548878	0.8593416	0.2017269
300	0.3469214	0.6381129	0.0119288	0.0504809	0.4259005	0.9120609	1.0540893	0.8502927	0.9208497	0.1768395
350	0.3483357	0.5457902	0.0043343	0.0513770	0.6126263	0.9991611	0.9683533	0.9047933	0.9175266	0.1671920
400	0.3564691	0.4950246	0.0045958	0.0501795	0.6952356	0.8644936	0.9731109	1.0381479	0.8987818	0.1887169
450	0.3148458	0.5493679	0.0069132	0.0453677	0.6754055	0.9460092	0.9289358	0.9878998	0.9706761	0.2019896
500	0.2896740	0.5947315	0.0102354	0.0578769	0.6769959	0.9379624	0.9766231	0.9459007	0.8723479	0.1832930
550	0.2868487	0.6319242	0.0265352	0.1565432	0.7346827	1.0057054	0.9348252	0.9152001	0.9512950	0.1418533
600	0.3018837	0.5571608	0.0473828	0.2264836	0.7143752	0.8733259	0.9102041	0.8633415	0.8416216	0.1341700
650	0.3467779	0.6920707	0.0554518	0.3124402	0.5361374	0.6943775	0.7805268	0.8841756	0.8927091	0.2023965
700	0.3905055	0.6447698	0.0392936	0.4564076	0.4707567	0.5720663	0.8878600	0.8344603	0.8929396	0.2093757
750	0.4414251	0.6718248	0.0401324	0.5750473	0.3168055	0.4542355	0.9020821	0.8846159	0.8960098	0.1898663
800	0.4076266	0.6664967	0.0488601	0.7307940	0.2131694	0.4105967	1.0495848	0.8040291	0.9554231	0.1405243
850	0.3136573	0.5276789	0.0560443	0.8097438	0.1497164	0.3089854	1.0594280	0.9275176	0.9231882	0.1334817
900	0.3251279	0.5328419	0.0662291	0.7016324	0.1040027	0.2783574	1.0451621	0.9843036	0.9366248	0.1498926
950	0.3300839	0.6728667	0.0650515	0.8287448	0.1249116	0.2737572	0.9470584	0.9203031	0.8021636	0.2067847
1000	0.3144818	0.6146945	0.0406257	0.8703324	0.1107237	0.3181514	0.9938708	0.8760783	0.8199486	0.2136783

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4013777	0.7706346	0.0528608	0.8568018	0.1083054	0.3587070	1.0029288	0.8842886	0.6405795	0.2368859
100	0.4049351	0.8072467	0.0771921	0.8859838	0.1184627	0.3475426	0.9623982	0.7256608	0.5337967	0.3892283
150	0.4284448	0.8381547	0.0710148	0.8020816	0.0945449	0.3869539	0.8981100	0.6694018	0.4632709	0.4864974
200	0.5067887	0.8209457	0.0722165	0.8627675	0.1071618	0.4521282	0.9033976	0.5075909	0.4131128	0.7013845
250	0.4992193	0.9099926	0.0593068	0.8125427	0.1380069	0.3717848	1.0632925	0.4510793	0.3315954	0.7938955
300	0.5546978	0.9020264	0.0742844	0.8577473	0.1019796	0.3713681	1.0678818	0.2872291	0.2622473	0.9291839
350	0.5345560	0.9591943	0.0521464	0.9161536	0.1217519	0.3659714	0.9367651	0.2389596	0.2758418	0.8944894
400	0.5718149	0.9178525	0.0690011	0.8829221	0.1028099	0.3003096	0.9626143	0.2057068	0.2205931	0.8507916
450	0.5473198	1.0204147	0.0631732	0.9331198	0.1311974	0.3375092	0.9679718	0.1781151	0.2683255	0.8409661
500	0.5479776	1.0056271	0.0325226	0.8646522	0.0858102	0.3077542	0.9756160	0.1621048	0.2629994	0.9424667
550	0.5379086	1.0676459	0.0300518	0.9425441	0.0948870	0.2916080	0.9107640	0.1882742	0.3469921	0.9974952
600	0.5420392	0.9734181	0.0269136	0.8913944	0.0808263	0.3177642	0.9533199	0.2514652	0.3895528	0.7919320
650	0.5808689	1.0032524	0.0291768	0.9937242	0.1393773	0.3678494	0.8932594	0.3670878	0.4154112	0.8021659
700	0.6292972	0.8649420	0.0272915	0.8876434	0.1063332	0.3525302	0.8476076	0.4237345	0.4211818	0.8193045
750	0.5575509	0.8110474	0.0397935	0.8997886	0.1136030	0.3514492	0.9508535	0.4062162	0.4188765	0.7079610
