"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.3992455	0.6653212	0.0447019	0.8982795	0.0851456	0.2974184	0.9875922	0.8810485	0.8175925	0.2221738
50	0.3864861	0.5523748	0.0175459	0.9215340	0.0808119	0.1339007	0.9877661	0.9308389	0.8172026	0.2223387
100	0.3544255	0.5256329	0.0076768	0.9635115	0.0747343	0.0714913	0.9882080	0.9433603	0.8159534	0.2226473
150	0.3278630	0.5196250	0.0040886	0.9861380	0.0719416	0.0476209	0.9885950	0.9463821	0.8146514	0.2232656
200	0.3126692	0.5186702	0.0027826	0.9948963	0.0708700	0.0384671	0.9888293	0.9469748	0.8135975	0.2240185
250	0.3054926	0.5189042	0.0023066	0.9979558	0.0704712	0.0349481	0.9889463	0.9469643	0.8127098	0.2247420
300	0.3025594	0.5193702	0.0021327	0.9989948	0.0703236	0.0335923	0.9889979	0.9468203	0.8119469	0.2253867
350	0.3015676	0.5198383	0.0020690	0.9993476	0.0702691	0.0330689	0.9890182	0.9466608	0.8112904	0.2259492
400	0.3013789	0.5202584	0.0020456	0.9994687	0.0702490	0.0328665	0.9890251	0.9465139	0.8107255	0.2264365
450	0.3014899	0.5206246	0.0020370	0.9995109	0.0702416	0.0327882	0.9890266	0.9463847	0.8102391	0.2268575
500	0.3016939	0.5209412	0.0020338	0.9995259	0.0702389	0.0327580	0.9890260	0.9462725	0.8098201	0.2272209
550	0.3155630	0.6350451	0.0291809	0.9959856	0.0703152	0.1946533	0.9888715	0.8947921	0.8094607	0.2275344
600	0.3487506	0.6626766	0.0390474	0.9743286	0.0717197	0.2564937	0.9884940	0.8816412	0.8092369	0.2277994
650	0.3754700	0.6690191	0.0426359	0.9448787	0.0752570	0.2803720	0.9881577	0.8782364	0.8094218	0.2279635
700	0.3905427	0.6701917	0.0439435	0.9229657	0.0790237	0.2898909	0.9879183	0.8774088	0.8100200	0.2279184
750	0.3976624	0.6701304	0.0444215	0.9104418	0.0817337	0.2939047	0.9877583	0.8773526	0.8107750	0.2276434
800	0.4006260	0.6697733	0.0445973	0.9041055	0.0833484	0.2957147	0.9876579	0.8775613	0.8115183	0.2272229
850	0.4016833	0.6693578	0.0446626	0.9010602	0.0842254	0.2965790	0.9876003	0.8778565	0.8121937	0.2267524
900	0.4019351	0.6689537	0.0446872	0.8996150	0.0846811	0.2970069	0.9875706	0.8781646	0.8127896	0.2262918
950	0.4018710	0.6685841	0.0446966	0.8989241	0.0849134	0.2972221	0.9875572	0.8784548	0.8133082	0.2258690
1000	0.4016976	0.6682556	0.0447003	0.8985890	0.0850309	0.2973306	0.9875527	0.8787157	0.8137559	0.2254934

