"Time"	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0206283	0.9900069	0.3393606	0.4406928	0.6412063	0.2566889	0.9799169	0.2975386	0.6534778	0.9907224
100	0.0216935	0.9369962	0.3656747	0.3517737	0.5229046	0.1320888	0.9660636	0.2903898	0.8823991	0.9313183
150	0.0134905	1.0181839	0.3201439	0.3199123	0.2746105	0.0831077	1.0263362	0.3254248	0.8994438	0.9419240
200	0.0084216	1.0742365	0.2577459	0.2187842	0.1536846	0.0358087	1.0630732	0.3076477	0.8814757	1.0121894
250	0.0089448	1.0448870	0.2234218	0.1482392	0.0637182	0.0232648	0.9966151	0.3678545	0.9051983	1.0529143
300	0.0080373	0.9039315	0.1470144	0.1078013	0.0481671	0.0177690	1.1209612	0.4020810	0.7995233	1.1904425
350	0.0019143	0.9224496	0.1448587	0.1006817	0.0233162	0.0241513	1.0485706	0.4047376	0.8206166	1.1948952
400	0.0043904	0.9737980	0.1232287	0.1488184	0.0233903	0.0222963	1.0700994	0.4384889	0.9005846	1.1278287
450	0.0057218	0.9407235	0.1226475	0.1366309	0.0274171	0.0329654	1.0835257	0.4109851	0.9902591	1.0109497
500	0.0054673	0.8967205	0.0889494	0.1283483	0.0298362	0.0327687	0.9559660	0.4608903	0.9265102	1.0394601
550	0.0152787	0.9630679	0.1138347	0.2296170	0.0401532	0.1790063	1.1068783	0.4724780	0.8856060	0.9822276
600	0.0136993	0.9599301	0.1739169	0.2688901	0.2429947	0.2198162	1.0943597	0.4224448	0.8596869	1.0399099
650	0.0189029	0.9809955	0.1789977	0.2644485	0.3818546	0.2901816	0.9610797	0.4339977	0.7841347	0.9902760
700	0.0183076	0.9690308	0.2162959	0.2223750	0.4634603	0.3713152	1.0594382	0.3760795	0.7242240	0.9742402
750	0.0174506	0.9326231	0.1995377	0.2563379	0.6180285	0.4410604	1.0513438	0.3514668	0.6386305	0.9623878
800	0.0167986	0.9752773	0.2254650	0.2932071	0.7325796	0.4057359	1.0416480	0.3252245	0.5473876	0.9925889
850	0.0292076	1.0405572	0.2724757	0.3369299	0.7252511	0.3548359	1.0103781	0.3384084	0.4945952	0.9757272
900	0.0183904	1.0294856	0.3001811	0.4232778	0.6109621	0.3982415	0.9885247	0.2975957	0.4920925	1.0191900
950	0.0348111	1.0217823	0.2457208	0.4238287	0.7446704	0.3685955	0.9783860	0.2942341	0.4912486	1.0572714
1000	0.0262014	0.8736282	0.3139353	0.4307716	0.6567455	0.3732500	0.9338617	0.2774539	0.5312971	0.9350187

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0122657	0.9685619	0.3787100	0.4294645	0.7507985	0.2717118	0.8572755	0.2621337	0.6180071	1.1196022
100	0.0223262	0.8900427	0.3434153	0.4154706	0.4381920	0.1398024	0.9552473	0.3216200	0.6024671	1.0978002
150	0.0273939	1.0173861	0.3899061	0.4697490	0.2988686	0.1220899	1.1277612	0.3381943	0.6060750	1.1256298
200	0.0222213	1.0212980	0.3891248	0.5739489	0.1940984	0.1066220	0.9942617	0.2611615	0.5359456	1.0216999
250	0.0184118	0.9780733	0.4200136	0.6242408	0.1143099	0.0395568	0.9959230	0.3072322	0.4195427	1.0397367
300	0.0303324	1.0657993	0.4106787	0.6569329	0.0586842	0.0715325	1.0288286	0.3697313	0.4916812	1.0665320
350	0.0413200	1.0043576	0.4441240	0.7173548	0.0580084	0.0897220	1.0604893	0.3663356	0.5171961	1.0327496
400	0.0290550	0.9594972	0.4565017	0.7994860	0.0648685	0.0967260	1.0331823	0.4389469	0.5058614	0.9911380
450	0.0315159	0.9055051	0.4834856	0.7390534	0.1035425	0.0571040	0.9930291	0.3921245	0.6668457	1.0011459
500	0.0288539	0.9903950	0.4863693	0.7373943	0.0761470	0.0729330	1.1483246	0.4291268	0.6620317	1.0359748
550	0.0372957	0.9868462	0.4397943	0.7045951	0.0895620	0.1546920	1.0015214	0.3883808	0.7012147	1.0035774
600	0.0308402	0.9936470	0.5186101	0.6689996	0.2737192	0.2885011	1.0004282	0.3882779	0.6204081	1.0598638
650	0.0346752	0.9873984	0.5079443	0.5875488	0.4879702	0.3892748	0.9836212	0.3864725	0.6293240	1.0526613
700	0.0374318	1.0207961	0.4369579	0.5434577	0.6587221	0.3837158	0.9464807	0.3279347	0.6148763	1.0030722
750	0.0402354	1.0291721	0.4262514	0.4848135	0.7062594	0.4470934	0.9954546	0.2966667	0.5625074	0.9991088
800	0.0256292	0.9762246	0.4065734	0.4828690	0.8107386	0.4226927	0.9945494	0.2689023	0.5415090	1.0150399
850	0.0250531	1.0233444	0.3290752	0.4548350	0.7569373	0.4015557	1.0810672	0.2723903	0.5416281	1.0690271
900	0.0115492	1.0304035	0.3971640	0.5007998	0.6695575	0.3422922	0.8790192	0.3402181	0.5493677	1.0028407
950	0.0083082	1.0485021	0.3948934	0.3933500	0.6585775	0.3479514	0.9828119	0.3375730	0.5338898	1.0496493
1000	0.0251416	1.0139917	0.3911514	0.3381478	0.6488701	0.3956630	0.9372392	0.2886815	0.5243720	0.9702007

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0210164	0.9763672	0.3597712	0.4183334	0.6460821	0.3158856	1.0498521	0.2510499	0.3778416	0.9359450
100	0.0041776	1.0047984	0.3610678	0.3966979	0.6747877	0.4049133	1.0118739	0.2376472	0.1993681	1.0015703
150	0.0226356	0.8850380	0.3866786	0.2604828	0.6770481	0.4184939	1.0652689	0.2650709	0.1307934	0.9865804
200	0.0263668	1.0201402	0.3636673	0.3657682	0.6891497	0.3387397	1.0819632	0.2412006	0.0871064	0.9499421
250	0.0266722	0.9071249	0.3154846	0.4254821	0.6704615	0.3251074	0.9189610	0.2678034	0.0779569	1.0032817
300	0.0376905	1.0270097	0.3054849	0.4757278	0.7039957	0.3598742	0.9843809	0.2267308	0.0789832	0.9062168
350	0.0312605	1.0307546	0.3145339	0.4918778	0.6828030	0.4150136	1.0302228	0.2940429	0.0721240	0.8981083
400	0.0250632	1.0139528	0.3396819	0.4318622	0.8370605	0.4276556	1.0158343	0.2899989	0.0888937	0.8904414
450	0.0157382	1.0230945	0.3585400	0.5404559	0.7949624	0.3961167	1.0206264	0.2841807	0.0901443	0.9639702
500	0.0213017	1.0907564	0.3316700	0.4710052	0.7125375	0.3828098	0.9133675	0.2735433	0.0836827	0.9408317
550	0.0105868	0.9905728	0.2547430	0.4098551	0.7684700	0.4458478	1.0219171	0.2056775	0.1484013	0.9691393
600	0.0194405	0.8993584	0.2566181	0.3081121	0.8041514	0.3862910	1.0294160	0.2007900	0.3301529	0.9872377
650	0.0270989	0.9742476	0.2481285	0.3160719	0.7565233	0.4408744	0.9414042	0.1995582	0.3728543	1.0540587
700	0.0144240	1.0403139	0.3194596	0.3568508	0.6705456	0.3827671	1.0392591	0.2445464	0.3765238	1.0200759
750	0.0182039	1.0346011	0.3020397	0.3282874	0.6681443	0.3761332	1.0663465	0.3072087	0.4957358	0.9589263
800	0.0229394	1.0311041	0.2781704	0.3727410	0.6950970	0.3701958	1.0513183	0.2894003	0.4915908	0.9890353
850	0.0161153	0.9952201	0.2855530	0.4028478	0.6494643	0.3482695	1.0141097	0.2973059	0.5367407	1.0106776
900	0.0263915	1.0346188	0.2845865	0.3521660	0.6850028	0.4385775	0.8601354	0.3848814	0.5354725	0.9762499
950	0.0192831	1.0265875	0.3019158	0.3560458	0.7744179	0.4161752	0.9930022	0.3527641	0.5159353	0.9752929
1000	0.0200355	0.9906068	0.3547713	0.3260187	0.7718776	0.4026703	0.9999851	0.3121433	0.6361853	1.0389365

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0272152	0.9471489	0.3207360	0.3069801	0.6776611	0.3516548	0.9821742	0.3694430	0.4061406	1.0772211
