YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.0710297	0.0221055	0.0002661	0.6945856	0.3779689	1.0000000	0.2643166	0.4988575	1.0000000
1.0000000	0.0000000	0.4078597	0.5637869	0.6945856	0.3779689	1.0000000	0.2519745	0.1051143	1.0000000
0.9999930	0.0143108	0.0000002	0.5637868	0.6945856	0.3779689	1.0000000	0.2519690	0.1051056	1.0000000
0.9972529	0.0693944	0.0219678	0.0000000	0.6945856	0.3779689	1.0000000	0.2643166	0.1087266	1.0000000
0.0219241	0.9999976	0.5296163	0.8913041	0.0000000	0.3779689	1.0000000	0.4387994	0.6637618	1.0000000
0.0219241	0.9999975	0.5271395	0.8831849	0.0070219	0.0000000	1.0000000	0.4378129	0.6623505	1.0000000
0.0219251	0.9999806	0.3482568	0.4437674	0.9493654	0.9999988	0.0000000	0.6393576	0.8973449	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.0000015	0.4805621	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.2643166	0.0000015	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.2643050	0.4988534	0.0000007
