YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0701834	0.8833935	0.9522725	0.0557292	0.2618073	0.3211243	0.5844844	0.0059267	0.8969867	0.8898133
0.3938228	0.8403227	0.8409604	0.0975005	0.0320539	0.1305416	0.5897378	0.0101106	0.8616710	0.9262463
0.0425534	0.9163152	0.9999658	0.0031945	0.2599564	0.4025455	0.5818571	0.0714745	0.8212196	0.8461040
0.0249626	0.9289693	0.7592487	0.0006991	0.1830757	0.3979866	0.3754216	0.0657661	0.9526575	1.0000000
0.4551521	0.3720476	0.4140332	0.3259541	0.1784072	0.3907227	0.5962845	0.0682380	0.8854511	1.0000000
0.0063867	0.8669492	0.9040499	0.0053513	0.2926489	0.5699846	0.5858764	0.0658704	0.9493629	1.0000000
0.0277730	0.9168231	0.9215426	0.0938536	0.3114195	0.5482939	0.3040794	0.0102548	0.8296829	0.6624060
0.7290407	0.0180698	0.1375808	0.5407105	0.1727205	0.3818513	0.8992235	0.0658874	0.9488302	0.9777348
0.0186185	0.8533887	0.8700537	0.0023904	0.2431513	0.4914108	0.5872250	0.0717801	0.8161039	0.6851836
0.0588188	0.8320333	0.8240255	0.1202467	0.1725107	0.3815226	0.5901168	0.0658014	0.9515349	1.0000000
