YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000006	0.8175565	0.9903079	0.0585460	0.9779415	0.0316079	0.9998420	0.0048352	0.0158809	1.0000000
0.0669262	0.0000000	0.3188959	0.3754313	0.5887099	0.1675471	0.1378762	0.9951007	0.9999999	1.0000000
0.1332395	0.1435722	0.0000000	0.3681111	0.7054445	0.1303834	0.1503055	0.9451386	0.5644175	1.0000000
0.6549293	0.8207660	1.0000000	0.0000001	0.9779415	0.0316079	0.9998420	0.0048352	0.0158410	1.0000000
0.6420349	0.7935164	0.9253039	0.1179695	0.0000002	0.0316079	0.9998419	0.0048356	0.0162886	1.0000000
0.6420252	0.7935284	0.9253397	0.1179564	0.9999451	0.0000002	0.9998419	0.0048356	0.0162891	1.0000000
0.2391666	0.2640200	0.2643068	0.4210486	0.0426146	1.0000000	0.0000000	0.0656739	0.1550996	1.0000000
0.6420438	0.7935356	0.9253367	0.1179538	0.9779415	0.0316078	1.0000000	0.0000048	0.0162883	1.0000000
0.6420388	0.7935218	0.9253051	0.1179703	0.9779415	0.0316079	0.9998422	0.0048317	0.0000021	1.0000000
0.2877429	0.3149600	0.3163073	0.3773129	0.5885438	0.1675601	0.1378751	0.9951025	1.0000000	0.0000000
