YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0329070	0.2749997	0.8498668	0.5386454	0.9977848	0.5487751	0.8906004	0.9894149	0.0973203	1.0000000
0.0454459	0.1375902	0.8498668	0.5386450	0.9977846	0.5488471	0.8906273	0.9894149	0.0973203	1.0000000
0.0610733	0.2572573	0.4249430	0.5386449	0.9977849	0.5488633	0.8906056	0.9894149	0.0973203	1.0000000
0.1939775	0.5013685	0.9813735	0.2693229	0.9977850	0.5488280	0.8905888	0.9894149	0.0973203	1.0000000
0.2191897	0.5356363	0.9901735	0.2203985	0.4988925	0.5488364	0.8905976	0.9894149	0.0973203	1.0000000
0.0662771	0.2774419	0.8526744	0.5349060	0.9908583	0.3314681	0.9951639	0.9894149	0.0973203	1.0000000
0.1004623	0.3545141	0.9179042	0.4354744	0.8188461	0.1067192	0.4999982	0.9894149	0.0973203	1.0000000
0.0685061	0.2842163	0.8496722	0.5389161	0.9982953	0.6016160	0.9367079	0.4947076	0.0973203	1.0000000
0.0657955	0.2749693	0.8498687	0.5386411	0.9977744	0.5479474	0.8900244	0.9989722	0.0486888	1.0000000
0.0676643	0.2816317	0.8497051	0.5388806	0.9982491	0.5965437	0.9315350	0.5379602	0.3575407	0.5000005
