YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	0.6653853	0.7243250	0.1396278	0.0427474	0.6911142	0.4920405	0.3560587	0.3619210	0.5369615
0.0056181	0.0000000	0.7493985	0.1241130	0.0490932	0.6815806	0.5446701	0.3947280	0.3274207	0.5291167
0.6500776	0.6524731	0.0000000	0.0941922	0.1380436	0.6110333	0.4615502	0.3755429	0.2143953	0.4619510
0.8226963	0.8086837	0.8025837	0.0000000	0.0160573	0.6691004	0.5063982	0.2289635	1.0000000	0.1628993
0.8231812	0.6230810	0.6556712	0.2010115	0.0000000	0.7404371	0.4660257	0.2811747	0.3130580	0.3883850
0.6786525	0.6875085	0.6117173	0.1516733	0.0464703	0.0000000	0.5027662	0.4460447	0.3673746	0.4950492
0.6359168	0.6972647	0.6831548	0.1646940	0.0194745	0.6928064	0.0000000	0.4051852	0.4260175	0.4815989
0.8002442	0.5933102	0.7334883	0.1250929	0.0765028	0.6285109	0.6821846	0.0000000	0.2714992	0.5627901
0.6885738	0.6329033	0.7496198	0.1983856	0.6523700	0.0035328	0.1874530	0.6517204	0.0000000	0.4735619
0.6205621	0.7229581	0.7357862	0.7771416	0.0072413	0.6420413	0.5808948	0.2436751	0.7303786	0.0000000
