YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.4503128	0.0850722	0.0044001	1.0000000	0.9310845	0.3864215	0.9418165	0.9999999	0.9455807	1.0000000
0.9698784	0.0425508	0.0044001	1.0000000	0.9622931	0.4019175	0.9418165	0.9999999	0.9455806	1.0000000
0.9003185	0.0850721	0.0022033	1.0000000	0.9403506	0.3910961	0.9418163	1.0000000	0.9455802	1.0000000
0.9003197	0.0850722	0.0044019	0.5001726	0.9398309	0.3908394	0.9418165	0.9999999	0.9455806	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.4833011	0.1408583	0.9418165	0.9999999	0.9455807	1.0000000
0.9003183	0.0850722	0.0044001	1.0000000	0.9630462	0.2010510	0.9418163	0.9999999	0.9455802	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9662172	0.1505586	0.4709192	0.9999999	0.8448179	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9616533	0.2197143	0.5704402	0.5000003	0.8662397	1.0000000
0.9003197	0.0850722	0.0044001	1.0000000	0.9403506	0.3910964	0.9418164	0.9999999	0.4729032	1.0000000
0.9003197	0.0850722	0.0044001	1.0000000	0.9403506	0.3910964	0.9418165	0.9999999	0.9167542	0.5002638
