YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.4951485	0.0899500	0.7248071	0.7508197	0.7374390	0.5383076	0.3301669	0.7688924	0.8617524	0.0435115
1.0014607	0.0228699	0.6960265	0.5928666	0.7453135	0.6039991	0.4671669	0.8678997	0.9209441	0.0545929
0.9317309	0.0729466	0.3033485	0.7316481	0.7680097	0.6385193	0.5737631	0.7860552	0.8307143	0.1397528
0.9114562	0.0662668	0.6701125	0.3505511	0.8092999	0.5757563	0.4563792	0.8243674	0.9723780	0.0372458
0.9375543	0.0846256	0.5669802	0.4984315	0.4296393	0.5829216	0.4552757	0.9076335	0.9860489	0.0549954
0.9598849	0.0720025	0.7046881	0.8121527	1.0132677	0.2939814	0.5188360	0.7719153	0.9047737	0.0234300
1.0070149	0.0914897	0.6980033	0.9062314	0.9177257	0.3397979	0.2270418	0.8421782	1.0889637	0.0442166
0.9426815	0.0821120	0.6315734	0.7578950	0.6746597	0.6192340	0.7071840	0.3977299	1.0196600	0.0687307
0.9021539	0.0932585	0.6440226	0.5203657	0.6457848	0.7720552	0.8321151	0.2346675	0.5052572	0.0424541
0.9799004	0.0477516	0.6368008	0.6992334	0.9223383	0.5647941	0.4520511	0.8452872	1.0401406	0.0165571
