"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1323431	0.3621529	0.3446872	0.8320168	0.4582266	0.7876287	0.6333351	0.3224373	0.0947103	0.7008060
50	0.1443262	0.2795907	0.2865639	0.4535177	0.3730809	0.7835467	0.6775701	0.2392299	0.0452431	0.6300203
100	0.1519454	0.2594547	0.5309943	0.5325671	0.3858860	0.6643456	0.5973679	0.0803104	0.0096303	0.7331753
150	0.1358285	0.3710116	0.4646447	0.5006064	0.4527135	0.6169856	0.1474549	0.0490225	0.0052163	0.8005467
200	0.1251119	0.2667097	0.4801553	0.3840884	0.3788166	0.3189964	0.0621412	0.0086746	0.0018405	0.7600499
250	0.1840816	0.3573705	0.5500375	0.4382135	0.1699995	0.0253272	0.0407573	0.0026188	0.0032313	0.7466627
300	0.1957164	0.2302768	0.6893431	0.5622904	0.0563600	0.0050234	0.0189086	0.0052534	0.0014420	0.6921744
350	0.2890239	0.2762426	0.6441952	0.4147651	0.0247347	0.0157289	0.0354405	0.0004748	0.0006998	0.7996139
400	0.1474699	0.2761382	0.5045470	0.4751369	0.0186534	0.0062352	0.0508092	0.0016755	0.0040100	0.7290819
450	0.1791212	0.2660232	0.4953647	0.5463007	0.0208088	0.0125127	0.0587761	0.0017669	0.0010680	0.6981877
500	0.2165500	0.2065882	0.6633145	0.4426396	0.0155231	0.0106770	0.0180151	0.0020545	0.0050965	0.6913926
550	0.1788917	0.3271335	0.6129588	0.6836206	0.0186948	0.0078686	0.0319743	0.0046548	0.1207413	0.6919383
600	0.1961873	0.2511548	0.5251104	0.5020515	0.0286921	0.0023359	0.0134389	0.0145776	0.1720796	0.7124207
650	0.1631607	0.3204365	0.5611845	0.6851247	0.0257746	0.0045339	0.0239282	0.1237329	0.1622852	0.7275897
700	0.2054296	0.3659876	0.4939209	0.7848732	0.0203366	0.1376304	0.3024869	0.3114855	0.1221669	0.7441379
750	0.1737519	0.3275437	0.4639331	0.8001240	0.0547919	0.5070342	0.7612272	0.3525786	0.1578074	0.7847645
800	0.1543847	0.3027363	0.3914116	0.6214177	0.3372546	0.6698028	0.7672227	0.3715209	0.1239611	0.6607515
850	0.1656676	0.3162145	0.3632313	0.7685631	0.3254151	0.9099633	0.6729728	0.4064818	0.2090327	0.8266358
900	0.1690113	0.3755691	0.2614385	0.6502134	0.3972091	0.8180428	0.6444779	0.3757754	0.1849328	0.7693568
950	0.1834930	0.3141692	0.3564574	0.6992066	0.4622364	0.7180294	0.6790302	0.2997631	0.1436345	0.7117392
1000	0.1404163	0.3193162	0.3283478	0.6346500	0.4536699	0.7838033	0.7467546	0.3643173	0.1150832	0.7757474

0	0.1925273	0.2977914	0.3465367	0.7672142	0.4474665	0.8628846	0.7701242	0.2673454	0.1237080	0.7872858
50	0.2124921	0.2395370	0.3997549	0.5718742	0.3093027	0.7344988	0.6249541	0.3355602	0.1069990	0.9644789
100	0.1824061	0.1510961	0.5965398	0.5067503	0.3716048	0.8725825	0.7585890	0.1063665	0.1495315	0.6608933
150	0.1712489	0.1475399	0.4245177	0.5017525	0.3309148	0.6084169	0.6340907	0.0689531	0.1748129	0.7431882
200	0.2305859	0.1369271	0.4674823	0.5312586	0.4059882	0.6739583	0.4399955	0.0697181	0.1470402	0.7369232
250	0.1886741	0.1961535	0.4945125	0.4928559	0.3574394	0.5576527	0.3189371	0.1076132	0.2322721	0.7206555
300	0.1891654	0.1279923	0.4688910	0.4194668	0.3528418	0.5084460	0.3794208	0.1251757	0.2022811	0.6042058
350	0.1306312	0.1100847	0.6674410	0.6067391	0.3044910	0.6013340	0.6204199	0.1448847	0.2540016	0.8030449
400	0.1039013	0.1101511	0.5462515	0.5917091	0.3780661	0.6316803	0.4886248	0.0556610	0.1787603	0.8827098
450	0.1451073	0.1181973	0.5789673	0.4875561	0.3672973	0.5600131	0.3467729	0.0607139	0.1147667	0.8923536
500	0.1655149	0.1080599	0.4825711	0.5319113	0.3663120	0.4717989	0.3847561	0.0464030	0.1976179	0.8498539
550	0.1967774	0.3043040	0.5305903	0.8261734	0.2459574	0.4215731	0.1178483	0.0902123	0.1957801	0.7142045
600	0.1946280	0.2687364	0.4580420	0.8316231	0.2691589	0.2135126	0.1253429	0.1270431	0.0891007	0.6083876
650	0.0984222	0.2483711	0.4415989	0.8170286	0.1844668	0.3796882	0.3354565	0.2069111	0.1072519	0.7425311
700	0.1411486	0.2878835	0.3108342	0.7675667	0.2892671	0.5999091	0.5688146	0.1984910	0.0741708	0.7003085
750	0.1882706	0.2843127	0.3067951	0.8460290	0.2545982	0.6294929	0.7006823	0.2566789	0.1188405	0.7220033
800	0.1673407	0.2544528	0.3590623	0.7883163	0.3383326	0.7043247	0.4886600	0.3118347	0.0975286	0.6923662
850	0.1642453	0.3871551	0.3126844	0.6958730	0.4081918	0.7990450	0.6489934	0.2424396	0.1190830	0.7311599
900	0.2466308	0.4245043	0.3475737	0.6358768	0.2747542	0.7202488	0.8207899	0.1707931	0.1064827	0.7302909
950	0.1524740	0.3128525	0.3464108	0.7303520	0.3902190	0.6565817	0.7676529	0.2752371	0.1198208	0.6233240
1000	0.1699331	0.4174067	0.3336268	0.6937756	0.4889747	0.7870780	0.6414383	0.3073588	0.1130272	0.5841097

0	0.1554864	0.3203450	0.3850894	0.8393364	0.3724016	0.8217660	0.7472103	0.2598303	0.1256076	0.7414386
50	0.2268618	0.3036800	0.3725132	0.7047633	0.3732495	0.7298378	0.7859231	0.2993845	0.0699758	0.6570688
100	0.1767289	0.1855102	0.3264220	0.7129681	0.4396575	0.7719421	0.7843922	0.1514063	0.0178882	0.6891780
150	0.1779371	0.2252073	0.3811847	0.6482051	0.4743176	0.7975292	0.4047269	0.0336749	0.0079910	0.8378839
200	0.1090092	0.2182786	0.3945411	0.6390556	0.3529344	0.4974439	0.0965693	0.0137163	0.0094078	0.6326689
250	0.2182632	0.1965119	0.3507789	0.5843233	0.2837591	0.1692785	0.0114952	0.0026982	0.0069942	0.6497839
300	0.1327172	0.2001834	0.4925171	0.8205726	0.1598017	0.1599430	0.0259661	0.0000566	0.0016803	0.8997269
350	0.1589612	0.1722347	0.3218946	0.7169283	0.1326755	0.2019362	0.0446087	0.0005867	0.0056727	0.8180943
400	0.1529109	0.2110839	0.3032542	0.8857611	0.0696170	0.2312290	0.0272544	0.0000000	0.0013915	0.6993322
450	0.1771075	0.2226925	0.2736565	0.7947117	0.1077788	0.1268823	0.0644762	0.0000352	0.0006273	0.9118782
500	0.1908163	0.2214797	0.2870843	0.7776475	0.0681279	0.1442323	0.0463834	0.0000000	0.0062518	0.8074633
550	0.1459471	0.3032261	0.2747298	0.7982915	0.0469434	0.0176041	0.0306441	0.0106103	0.0477818	0.7991072
600	0.1615953	0.3373297	0.3366561	0.7821630	0.0197032	0.0037171	0.0184220	0.0315796	0.1322155	0.6518806
650	0.1035714	0.4095644	0.4832894	0.7880126	0.0086236	0.0276820	0.1004735	0.1767523	0.1298966	0.6168460
700	0.1808093	0.3515353	0.4172582	0.7533790	0.0677014	0.3657893	0.5068779	0.4743599	0.1237671	0.5813188
750	0.2065169	0.3392409	0.4305314	0.9093308	0.2105476	0.7024576	0.7512641	0.4049461	0.1237478	0.6526615
800	0.2118468	0.3569428	0.2799336	0.8538285	0.3484005	0.7214571	0.6870549	0.2646642	0.1880907	0.7919307
850	0.1628894	0.3072965	0.3102680	0.7759581	0.4302019	0.7848645	0.7202939	0.2241441	0.1338854	0.6781258
900	0.1795433	0.3579129	0.4114819	0.8665943	0.3774225	0.7908672	0.7700365	0.1646682	0.1393414	0.6797845
950	0.1189451	0.3417751	0.3394403	0.6948595	0.3253967	0.7895990	0.7462198	0.2039523	0.1352039	0.7630925
1000	0.1418753	0.2954576	0.3557482	0.6296337	0.4263035	0.6984242	0.7186900	0.2044970	0.1127762	0.6306000

0	0.2156342	0.3877766	0.3771307	0.8483762	0.4700113	0.7545719	0.7096469	0.2772450	0.1449028	0.7948053
50	0.1843803	0.3205073	0.3815316	0.6510027	0.6791233	0.6268784	0.7794769	0.4869534	0.1654187	0.6827132
100	0.1650044	0.3135429	0.5080896	0.7140275	0.7666206	0.6812772	0.7873209	0.4199203	0.1456996	0.8681892
150	0.1909315	0.3241318	0.3515801	0.5538553	0.7497766	0.7484835	0.7351727	0.5390696	0.1600457	0.8213975
200	0.1522008	0.2705802	0.4753299	0.4810611	0.6758689	0.7888694	0.7526344	0.5623017	0.1672760	0.6830321
250	0.1630100	0.2510304	0.4163792	0.3793966	0.7990746	0.6935316	0.8058369	0.4065754	0.1472755	0.7168067
300	0.1576969	0.2129595	0.5409108	0.2505025	0.7830548	0.7798194	0.7338497	0.5573594	0.1152662	0.6132723
350	0.1464683	0.2638934	0.5126955	0.2887625	0.8090414	0.6437504	0.6875868	0.3900795	0.2075984	0.7701613
400	0.2257478	0.3444022	0.6276349	0.3458929	0.7510506	0.7747458	0.7258478	0.4254109	0.1920458	0.8139565
450	0.1464368	0.3147103	0.7536121	0.2495949	0.7315765	0.8239182	0.8225398	0.4651578	0.2812766	0.8097068
500	0.1958250	0.1880403	0.5601647	0.3510375	0.6471792	0.7350883	0.5997736	0.4751248	0.2310798	0.8290282
550	0.1339834	0.1743707	0.6788233	0.4241682	0.4057110	0.7447502	0.7803542	0.3082777	0.1850761	1.0000000
600	0.1489624	0.2740869	0.5609717	0.4233041	0.3889819	0.7326731	0.7789780	0.3107678	0.2023882	0.7175173
650	0.1501177	0.2812468	0.5018996	0.7083293	0.4467976	0.7162409	0.6795540	0.3639637	0.2070297	0.7157485
700	0.2009709	0.3179309	0.4543100	0.6342858	0.4352298	0.7607892	0.6895618	0.3782753	0.1191902	0.8222487
750	0.1862834	0.2516034	0.3914674	0.7367097	0.4109692	0.7060430	0.7826029	0.2559453	0.1298612	0.7694255
