YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0000000	0.3353265	0.3600460	0.7085376	0.3435693	0.8139637	0.9167283	0.2226851	0.1950088	0.6990593
0.1740966	0.0000000	0.3538970	0.6123533	0.0307978	0.0020280	0.0458124	0.0021603	0.1676823	0.7875247
0.1186180	0.6757438	0.0000000	0.6683431	0.3446673	0.8883625	0.6896446	0.6543286	0.1298614	0.8345935
0.7840904	0.1531180	0.6511850	0.0000000	0.4464223	0.7646530	0.7023287	0.6909200	0.5490574	0.8529441
0.1743901	0.3677431	0.3866382	0.8000191	0.0000000	0.7584072	0.7712445	0.2429657	0.0863927	0.7898665
0.1471405	0.2648428	0.5270546	0.7856581	0.0035653	0.0000000	0.7139295	0.1848599	0.1081538	0.7859140
0.1288488	0.2989613	0.2660424	0.6881757	0.0057721	0.0025692	0.0000000	0.4241853	0.1395274	0.7463183
0.1243685	0.3970389	0.3021004	0.6922769	0.0073133	0.0054236	0.0148317	0.0000000	0.2351792	0.7008018
0.2054225	0.3067021	0.3757664	0.7139580	0.0137572	0.0045907	0.0243666	0.0007680	0.0000000	0.7232984
0.1398741	0.3709798	0.3089187	0.7402630	0.3403325	0.7805164	0.7243787	0.7776036	0.4363755	0.0000000
