YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.3850172	0.7926561	0.7606558	0.6541464	0.0283471	0.1461394	0.8363413	0.0886857	0.5307009	0.5647452
0.7825236	0.2988631	0.6442888	0.6685593	0.0161974	0.2081137	0.6257994	0.1091183	0.6699404	0.5819658
0.6589067	0.1998649	0.2317861	0.7301842	0.0072446	0.1848413	0.6665779	0.1306140	0.7233890	0.6539259
0.7828264	0.3257990	0.3435616	0.4179136	0.0134405	0.1796850	0.7487568	0.0928449	0.7084047	0.6712664
0.6766878	0.6978707	0.6399202	0.6431057	0.0038460	0.1703419	0.6749684	0.0949687	0.7444895	0.4928055
0.6195245	0.6834472	0.6845609	0.7847011	0.0024770	0.1251311	0.8073483	0.0742094	0.7788693	0.5883405
0.8804247	0.7701818	0.6145360	0.7553503	0.0795331	0.3437644	0.3954716	0.0549689	0.6864775	0.6733151
0.6607333	0.6442938	0.7209107	0.7602693	0.0063637	0.1447320	0.6931456	0.0531088	0.5982254	0.5041506
0.7782124	0.7479122	0.5129682	0.6809445	0.0308177	0.1456201	0.6525462	0.0971423	0.4127604	0.5790190
0.8314139	0.7372872	0.6299562	0.6854057	0.0018831	0.1992193	0.6801028	0.1708538	0.6122483	0.3612526
