YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
1.0231577	0.7566383	0.7832350	0.8933280	0.0003616	0.2127840	0.9746508	0.0030044	1.0019123	0.5099764
0.9085978	0.9667095	0.9688847	1.1659361	0.0051720	0.3340182	0.7281731	0.0010433	0.8672100	0.6783072
1.0487222	0.9749257	0.8159579	0.8048641	0.0003497	0.2735553	0.9393823	0.0532971	0.9706846	0.4816160
0.8625270	0.7521506	0.7020944	0.6696412	0.0010705	0.2615033	1.0152909	0.1085486	0.9365364	0.8620546
1.0178108	1.0278735	0.8536404	1.0112117	0.0004002	0.1646249	1.0619581	0.1139959	0.9898752	0.8733933
0.9944969	0.9448941	0.8982188	1.0118746	0.0131936	0.2956705	0.9008731	0.0800713	0.9155363	0.6503360
1.0281886	0.8990287	0.8063109	0.8885853	0.2732832	0.2265645	1.0766411	0.1331060	1.0228584	0.6280165
1.1317911	1.0288019	1.0115940	0.9735723	0.1026246	0.3256113	0.9862478	0.0866460	0.9410550	0.8645127
0.9142180	0.9168323	0.8881236	1.0380377	0.0007538	0.2263356	1.0077537	0.1012339	1.1286993	0.8608900
0.9547362	0.8259167	0.5875675	0.6822180	0.0324384	0.2839716	0.9849408	0.1562651	0.9756100	0.7887237
