YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.0000000	0.2901331	0.1615400	1.0783424	0.1095310	0.2096888	0.0240883	0.1393064	0.0798512	1.0463434
0.9609740	0.0000000	0.5624755	0.2141049	1.0627285	0.9122968	0.1529951	0.6344548	0.0782554	1.0856418
1.0923298	0.1352101	0.0000000	0.2320786	1.0467293	0.8392057	0.1243946	0.5741126	0.1116787	1.0004265
0.9653004	0.1612811	0.5483339	0.0000000	0.9584694	0.8314077	0.1922092	0.6098565	0.0585535	1.0188317
0.8606699	0.1023138	0.5677024	1.0300578	0.0000000	1.0099077	0.3935328	0.0764702	0.0819197	0.9959707
0.8905652	1.0025420	0.1171756	1.1349127	0.0810899	0.0000000	0.4743403	0.0967623	0.0459052	1.0066632
1.1297480	0.4858556	0.1118777	0.9496185	0.0746897	0.0955451	0.0000000	0.0660767	0.0915335	0.8834966
0.8471660	0.0858614	0.6387290	0.2729494	1.1139599	0.9276347	0.5374606	0.0000000	0.0816850	0.9767306
1.0027421	0.1484243	0.3828234	0.3300872	0.9624229	0.6309214	0.1073387	0.6341787	0.0000000	1.0105158
0.9201677	0.1475120	0.5426603	0.3062098	0.9661607	0.9534636	0.5034616	0.0610241	1.0290459	0.0000000
